year,trades,pnl_pts,expectancy,win_rate,PF,sharpe,max_dd,net_exp
2005,193,9.893708195825411,0.05126273676593477,0.6683937823834197,1.0778089318086927,0.5581596010197486,-37.837391174204186,-0.5007372632340653
2006,209,29.64280104777299,0.14183158396063633,0.6698564593301436,1.229689946151322,1.6328566473684336,-28.70359142878192,-0.4101684160393637
2007,198,126.74049290313269,0.6401034995107712,0.6868686868686869,1.659713477121406,3.101810138755343,-33.941434005247174,0.08810349951077112
2008,181,109.90662124615721,0.6072189019124709,0.6629834254143646,1.2444045901578378,1.4985835053215977,-65.41140269132734,0.05521890191247081
2009,145,70.01777728761397,0.4828812226731998,0.6758620689655173,1.2882588159231134,1.8804143413957874,-32.801964983756534,-0.06911877732680027
2010,157,-19.262940940876433,-0.122693891343162,0.5732484076433121,0.928876459845219,-0.5643753261491271,-47.6600657755323,-0.674693891343162
2011,150,-50.009330460358115,-0.33339553640238745,0.5933333333333334,0.8549326337135826,-1.0785914013934013,-135.42869838195338,-0.8853955364023876
2012,148,59.235708216259354,0.4002412717314821,0.6418918918918919,1.2732399892199266,1.7691112428917388,-35.99418670058935,-0.15175872826851794
2013,176,36.645229638397495,0.2082115320363494,0.6420454545454546,1.1750294761965605,1.2278844503388684,-25.41631610986633,-0.34378846796365065
2014,180,52.74661518615517,0.29303675103419535,0.6222222222222222,1.2121710729196378,1.5516446376514215,-18.333033759628506,-0.2589632489658047
