year,trades,pnl_pts,expectancy,win_rate,PF,sharpe,max_dd,net_exp
2005,220,134.1302057431094,0.60968275337777,0.7136363636363636,1.7236604502285051,4.822281893319159,-13.119417148039929,-0.02031724662223
2006,232,32.67100693146267,0.14082330573906324,0.6379310344827587,1.1121845424175474,0.8699956215566832,-44.123050201458,-0.4891766942609368
2007,196,119.21069546407807,0.6082178340003983,0.6938775510204082,1.3791891218597678,2.369178135088657,-49.93912525433029,-0.0217821659996017
2008,187,272.51885062999986,1.457320056844919,0.7165775401069518,1.5707723724873364,3.230127677359264,-65.7358586442806,0.8273200568449189
2009,125,132.35721540147506,1.0588577232118004,0.704,1.5017107897867679,2.940847652591972,-38.129635722154035,0.4288577232118004
2010,164,42.41228514509294,0.25861149478715206,0.6646341463414634,1.1032833591848525,0.7077931318088295,-56.8964362849249,-0.37138850521284794
2011,133,152.4166404298785,1.1459897776682595,0.6917293233082706,1.3879156928070064,2.37275443184035,-103.49195595181027,0.5159897776682595
2012,168,30.19473273798212,0.17973055201179836,0.625,1.0590385764856503,0.3992652889804539,-98.44610395820746,-0.4502694479882017
2013,188,70.51791724859822,0.37509530451382034,0.6223404255319149,1.1647398497069132,1.2138604068734573,-50.40696088120012,-0.25490469548617967
2014,178,203.39300975010883,1.1426573581466788,0.6460674157303371,1.4036552661055788,2.57135073124047,-48.40901513124527,0.5126573581466788
