year,trades,pnl_pts,expectancy,win_rate,PF,sharpe,max_dd,net_exp
2005,101,4.538560939056879,0.044936246921355234,0.693069306930693,1.073560550607809,0.5086983380263942,-13.200502871035724,-0.5070637530786448
2006,112,34.35971294754904,0.30678315131740214,0.7142857142857143,1.6431177880466072,3.6261031644612647,-9.340887439803737,-0.2452168486825979
2007,106,96.82467082747166,0.9134402908252044,0.7641509433962265,2.5182956502784872,6.657213507721105,-7.6194434684935,0.36144029082520435
2008,86,224.80822675362003,2.6140491482979074,0.7790697674418605,2.961094619670231,6.88488184908471,-23.199758599614484,2.0620491482979073
2009,65,45.20155409663971,0.6954085245636878,0.7230769230769231,1.4987160886042048,2.963417556119004,-21.542243858443726,0.1434085245636878
2010,70,14.923448352164883,0.21319211931664117,0.6428571428571429,1.164265287023673,1.0887450275719843,-27.788093280416206,-0.3388078806833589
2011,75,-3.5497395149329805,-0.047329860199106406,0.68,0.9748965276352544,-0.17288260731524124,-63.047015110067605,-0.5993298601991065
2012,54,20.172084422378475,0.37355711893293475,0.6111111111111112,1.2795555533388532,1.7603091005445168,-14.481016265528297,-0.1784428810670653
2013,81,12.309536584272792,0.15196958746015793,0.6419753086419753,1.1344419038888234,0.9294452699116947,-34.79706620576599,-0.4000304125398421
2014,87,-10.15857109097783,-0.11676518495376816,0.5632183908045977,0.9178337616827227,-0.6311545164423475,-39.357094380819944,-0.6687651849537682
