candidate,halfhour,trades,exp_pts,exp_sg
PREFADE-F,7:30,551,0.10538685536714609,0.049790966253998065
PREFADE-F,8:00,521,0.4774585807719759,0.19711383513506675
PREFADE-F,8:30,762,1.1899083250446407,0.20335031457186623
PREFADE-F,9:00,405,1.1942526480556575,0.3032216904447422
PREFADE-S,7:30,1457,0.22561159995297214,0.022686816223237344
PREFADE-S,8:00,1196,0.012992965840606737,0.06475120533463162
PREFADE-S,8:30,1688,1.0834035429198412,0.13825026361316842
PREFADE-S,9:00,816,0.6168446541072331,0.2503795907638676
