candidate,dataset_period,side,trades,exp_pts,exp_sg
PREFADE-F,NAS100_2026,-1,17,9.983720630333504,0.1640509651262721
PREFADE-F,NAS100_2026,1,8,-0.41877375686044616,-0.21086189707394606
PREFADE-F,NAS100_TRAIN,-1,435,0.7449403249330625,0.15497228636504032
PREFADE-F,NAS100_TRAIN,1,346,1.2292744456215388,0.35272125506897345
PREFADE-F,NAS100_VAL,-1,114,0.9490727340094732,0.12048085059513801
PREFADE-F,NAS100_VAL,1,106,0.6051965424455615,0.0670728382182405
PREFADE-F,NAS100_vault_2019_20,-1,31,3.603363848744295,-0.5763848384014109
PREFADE-F,NAS100_vault_2019_20,1,25,1.1420139537671274,0.03862191467982646
PREFADE-F,SPX500_2026,-1,28,0.4466749780959682,0.0543274235777529
PREFADE-F,SPX500_2026,1,10,-8.103860218449336,-0.891314510435446
PREFADE-F,SPX500_TRAIN,-1,431,0.6396444962127347,0.2536036462840291
PREFADE-F,SPX500_TRAIN,1,406,0.4033071587427439,0.27664806249627194
PREFADE-F,SPX500_VAL,-1,118,0.5340912741279916,0.09189917993691288
PREFADE-F,SPX500_VAL,1,113,0.02917478167448111,-0.12209101687060302
PREFADE-F,SPX500_vault_2019_20,-1,26,1.2967356448539424,0.06720201678886827
PREFADE-F,SPX500_vault_2019_20,1,25,-0.08306793796740748,0.014594026241921814
PREFADE-S,NAS100_2026,-1,42,16.631595055265798,0.0777111800605213
PREFADE-S,NAS100_2026,1,25,11.583674073898292,0.11356272547993265
PREFADE-S,NAS100_TRAIN,-1,998,0.48461688686126114,0.17116846945583475
PREFADE-S,NAS100_TRAIN,1,793,0.8905106007493657,0.2533709543789512
PREFADE-S,NAS100_VAL,-1,309,-1.4003697683460874,-0.23199917795764502
PREFADE-S,NAS100_VAL,1,273,0.5464237535377954,0.005740315074460256
PREFADE-S,NAS100_vault_2019_20,-1,94,-1.6447623700846343,-0.25934646197073763
PREFADE-S,NAS100_vault_2019_20,1,68,3.64718341956597,-0.04960335514345015
PREFADE-S,SPX500_2026,-1,60,3.696114252752113,0.2667527458914533
PREFADE-S,SPX500_2026,1,27,-0.8447170416167056,-0.2083279206011724
PREFADE-S,SPX500_TRAIN,-1,915,0.3460503486099104,0.1703550232670722
PREFADE-S,SPX500_TRAIN,1,822,0.13250682888322596,0.13755355397860164
PREFADE-S,SPX500_VAL,-1,310,0.3884696632129582,0.04960898753860693
PREFADE-S,SPX500_VAL,1,257,0.056411429549385106,-0.032206329053737326
PREFADE-S,SPX500_vault_2019_20,-1,93,-0.25430070707206365,0.021693821241240672
PREFADE-S,SPX500_vault_2019_20,1,71,-0.6648602508005137,-0.28521325539707937
