candidate,dataset_period,t_entry,side,mae,mfe,pnl_pts
PREFADE-F,NAS100_2026,2026-03-19 12:20:00+00:00,1,168.25,14.25,-115.32830284481315
PREFADE-F,NAS100_2026,2026-03-25 12:07:00+00:00,-1,11.75,100.13000000000102,98.64957126796799
PREFADE-F,NAS100_2026,2026-04-03 12:59:00+00:00,1,8.25,22.93000000000029,16.0
PREFADE-F,NAS100_2026,2026-04-09 12:42:00+00:00,-1,65.52000000000044,14.430000000000291,-53.099377308386465
PREFADE-F,NAS100_2026,2026-04-10 12:39:00+00:00,-1,64.02000000000044,31.850000000002183,27.690018563447666
PREFADE-F,NAS100_2026,2026-04-14 12:27:00+00:00,-1,83.65000000000146,32.75,-82.91638126076577
PREFADE-F,NAS100_2026,2026-04-15 11:47:00+00:00,-1,13.5,4.869999999998981,-0.0
PREFADE-F,NAS100_2026,2026-04-22 13:29:00+00:00,-1,7.400000000001455,71.34999999999854,58.619719630230975
PREFADE-F,NAS100_2026,2026-04-29 13:27:00+00:00,1,74.60000000000218,9.119999999995343,-62.88295116757581
PREFADE-F,NAS100_2026,2026-05-11 11:36:00+00:00,-1,0.5,62.25,57.25886388632716
PREFADE-F,NAS100_2026,2026-05-11 12:48:00+00:00,1,11.380000000004657,75.0199999999968,46.70511209905089
PREFADE-F,NAS100_2026,2026-05-12 12:32:00+00:00,1,4.369999999998981,147.65000000000146,131.41480519187098
PREFADE-F,NAS100_2026,2026-05-27 12:19:00+00:00,-1,90.37000000000262,154.59999999999854,119.24648601366425
PREFADE-F,NAS100_2026,2026-06-03 11:57:00+00:00,-1,11.62999999999738,74.12000000000262,73.17034730931846
PREFADE-F,NAS100_2026,2026-06-25 12:37:00+00:00,-1,10.25,156.6800000000003,135.84995921926384
PREFADE-F,NAS100_2026,2026-07-01 13:12:00+00:00,1,176.09999999999854,63.279999999998836,59.265401340653625
PREFADE-F,NAS100_2026,2026-07-09 11:54:00+00:00,-1,209.65000000000146,35.349999999998545,-203.9084123628345
PREFADE-F,NAS100_2026,2026-07-20 13:27:00+00:00,-1,141.65000000000146,123.59999999999854,115.79084459137084
PREFADE-F,NAS100_2026,2026-08-06 12:31:00+00:00,1,137.97999999999956,19.12000000000262,-131.80706014210955
PREFADE-F,NAS100_2026,2026-08-07 12:13:00+00:00,-1,121.62999999999738,32.79999999999927,-120.70515167053236
PREFADE-F,NAS100_2026,2026-08-10 12:49:00+00:00,1,77.84999999999854,64.03000000000247,53.28280546803944
PREFADE-F,NAS100_2026,2026-08-12 12:33:00+00:00,-1,117.27000000000044,55.47999999999956,40.10000000000218
PREFADE-F,NAS100_2026,2026-08-13 13:21:00+00:00,-1,111.65000000000146,50.22999999999956,-67.27195016073892
PREFADE-F,NAS100_2026,2026-08-14 11:35:00+00:00,-1,31.38000000000102,54.719999999997526,47.51871299733466
PREFADE-F,NAS100_2026,2026-09-11 12:50:00+00:00,-1,104.89999999999782,58.97999999999956,-76.27000000000044
PREFADE-F,NAS100_TRAIN,2005-01-12 12:33:00+00:00,-1,0.8999999999998636,2.5,2.5
PREFADE-F,NAS100_TRAIN,2005-01-12 13:58:00+00:00,1,2.5,2.5,1.3529185877039254
PREFADE-F,NAS100_TRAIN,2005-01-27 13:46:00+00:00,-1,0.5,3.400000000000091,3.013883297688153
PREFADE-F,NAS100_TRAIN,2005-01-28 13:34:00+00:00,1,0.0,2.0,2.0
PREFADE-F,NAS100_TRAIN,2005-02-01 13:36:00+00:00,-1,1.5,3.0,2.0057113161153666
PREFADE-F,NAS100_TRAIN,2005-02-02 12:59:00+00:00,-1,0.5,2.0,2.0
PREFADE-F,NAS100_TRAIN,2005-02-02 14:23:00+00:00,1,3.0,0.0,-2.094534142505154
PREFADE-F,NAS100_TRAIN,2005-02-03 13:22:00+00:00,-1,1.0,1.5,0.8176567690795764
PREFADE-F,NAS100_TRAIN,2005-02-03 13:42:00+00:00,1,2.0,0.0,-1.9744269635975797
PREFADE-F,NAS100_TRAIN,2005-02-03 14:19:00+00:00,1,3.3999999999998636,2.0,0.7034071538478202
PREFADE-F,NAS100_TRAIN,2005-02-07 13:41:00+00:00,-1,0.0,1.0,1.0
PREFADE-F,NAS100_TRAIN,2005-02-10 13:46:00+00:00,-1,1.5,1.5,1.162445411697945
PREFADE-F,NAS100_TRAIN,2005-02-16 13:24:00+00:00,1,4.5,1.0,-3.6862678794511794
PREFADE-F,NAS100_TRAIN,2005-02-16 13:43:00+00:00,1,1.5,8.5,4.653050740146455
PREFADE-F,NAS100_TRAIN,2005-02-17 13:13:00+00:00,-1,2.0,0.5,-1.7855724483677022
PREFADE-F,NAS100_TRAIN,2005-02-17 14:18:00+00:00,-1,0.5,2.0,1.6419753086420315
PREFADE-F,NAS100_TRAIN,2005-02-23 13:11:00+00:00,-1,6.0,1.0,-2.9001110451704335
PREFADE-F,NAS100_TRAIN,2005-02-25 13:30:00+00:00,-1,0.5,3.0,2.453377627930422
PREFADE-F,NAS100_TRAIN,2005-03-01 13:35:00+00:00,-1,6.5,1.0,-5.800315841725251
PREFADE-F,NAS100_TRAIN,2005-03-02 13:56:00+00:00,1,2.5,0.0,-2.3197084065059244
PREFADE-F,NAS100_TRAIN,2005-03-02 14:21:00+00:00,1,2.0,2.5,2.1970797625360774
PREFADE-F,NAS100_TRAIN,2005-03-08 13:19:00+00:00,-1,0.5,3.5,2.0598555209098777
PREFADE-F,NAS100_TRAIN,2005-03-10 14:08:00+00:00,-1,3.0,2.400000000000091,1.4128063756973006
PREFADE-F,NAS100_TRAIN,2005-03-16 13:50:00+00:00,1,7.5,0.0,-6.39274527193993
PREFADE-F,NAS100_TRAIN,2005-03-18 12:54:00+00:00,-1,1.5,1.0,1.0
PREFADE-F,NAS100_TRAIN,2005-03-21 14:23:00+00:00,-1,1.0,2.0,1.5059829120623363
PREFADE-F,NAS100_TRAIN,2005-03-22 13:03:00+00:00,-1,3.0,0.5,-2.1431084256053055
PREFADE-F,NAS100_TRAIN,2005-03-22 13:49:00+00:00,-1,5.400000000000091,1.0,-4.873641366998527
PREFADE-F,NAS100_TRAIN,2005-03-28 14:27:00+00:00,-1,0.0,2.900000000000091,2.900000000000091
PREFADE-F,NAS100_TRAIN,2005-04-04 11:35:00+00:00,1,1.400000000000091,2.5,2.5
PREFADE-F,NAS100_TRAIN,2005-04-05 12:30:00+00:00,-1,0.5,2.5,2.5
PREFADE-F,NAS100_TRAIN,2005-04-06 12:28:00+00:00,-1,3.0,3.5,1.8555372784207975
PREFADE-F,NAS100_TRAIN,2005-04-07 11:36:00+00:00,1,4.5,0.5,-3.410436815750927
PREFADE-F,NAS100_TRAIN,2005-04-08 11:41:00+00:00,-1,0.0,2.0,2.0
PREFADE-F,NAS100_TRAIN,2005-04-08 12:35:00+00:00,-1,0.5,1.5,1.5
PREFADE-F,NAS100_TRAIN,2005-04-12 11:31:00+00:00,1,0.0,1.5,1.5
PREFADE-F,NAS100_TRAIN,2005-04-12 12:37:00+00:00,1,0.5,2.900000000000091,1.7641914047226237
PREFADE-F,NAS100_TRAIN,2005-04-13 12:40:00+00:00,1,1.0,1.0,1.0
PREFADE-F,NAS100_TRAIN,2005-04-19 13:28:00+00:00,-1,0.0,3.0,2.9663547218801796
PREFADE-F,NAS100_TRAIN,2005-04-25 12:30:00+00:00,-1,3.5,0.5,-3.030075973334988
PREFADE-F,NAS100_TRAIN,2005-04-28 12:36:00+00:00,1,2.0,3.0,2.9977528171784797
PREFADE-F,NAS100_TRAIN,2005-05-05 12:31:00+00:00,-1,1.5,2.0,2.0
PREFADE-F,NAS100_TRAIN,2005-05-06 11:36:00+00:00,-1,0.5,2.0,2.0
PREFADE-F,NAS100_TRAIN,2005-05-06 12:20:00+00:00,-1,2.5,0.5,-2.1940565152312956
PREFADE-F,NAS100_TRAIN,2005-05-10 13:07:00+00:00,1,1.5,2.5,2.3983428054575597
PREFADE-F,NAS100_TRAIN,2005-05-12 11:31:00+00:00,1,0.5,6.0,2.602060594992281
PREFADE-F,NAS100_TRAIN,2005-05-12 12:42:00+00:00,-1,0.0,3.0,2.930741549876984
PREFADE-F,NAS100_TRAIN,2005-05-13 11:31:00+00:00,-1,1.5,1.3999999999998636,1.3999999999998636
