session_day,equity_sg,drawdown_sg
2005-01-05,-2.5000000000002114,0.0
2005-01-07,2.605926598046424,0.0
2005-01-10,3.5088749013556964,0.0
2005-01-12,6.280737824535324,0.0
2005-01-14,7.527188743775827,0.0
2005-01-19,8.876313271432387,0.0
2005-01-24,9.306948867101104,0.0
2005-01-26,10.497464429173819,0.0
2005-01-27,12.233129743990553,0.0
2005-01-28,14.74280511107777,0.0
2005-02-01,13.540213494265972,-1.202591616811798
2005-02-02,15.24722620004475,0.0
2005-02-03,13.851956341087954,-1.3952698589567962
2005-02-04,17.214825551627627,0.0
2005-02-09,17.55762326874574,0.0
2005-02-10,17.69624706259419,0.0
2005-02-11,21.537172504955812,0.0
2005-02-14,21.91606813595236,0.0
2005-02-15,23.243356159628622,0.0
2005-02-16,20.743356159628544,-2.500000000000078
2005-02-17,21.833356660091635,-1.4099994995369869
2005-02-18,19.333356660091702,-3.9099994995369194
2005-02-23,21.452631839186985,-1.7907243204416368
2005-02-28,18.95263183918699,-4.290724320441633
2005-03-02,16.452631839186985,-6.790724320441637
2005-03-04,14.48642172764714,-8.756934431981481
2005-03-08,16.145050035144116,-7.098306124484505
2005-03-09,14.951169548483035,-8.292186611145587
2005-03-10,17.6603062357457,-5.583049923882921
2005-03-11,20.84729016052074,-2.3960659991078828
2005-03-14,21.98498623106521,-1.2583699285634111
2005-03-15,19.484986231065342,-3.7583699285632797
2005-03-16,16.881507760923586,-6.361848398705035
2005-03-22,14.3815077609235,-8.861848398705122
2005-03-23,16.899889965023274,-6.343466194605348
2005-03-28,18.817336374709587,-4.426019784919035
2005-03-31,13.817336374709301,-9.42601978491932
2005-04-01,13.706047393212454,-9.537308766416167
2005-04-04,15.33728825718675,-7.9060679024418725
2005-04-05,16.817374060564646,-6.425982099063976
2005-04-07,18.134295248665893,-5.109060910962729
2005-04-08,21.671880383783417,-1.5714757758452045
2005-04-12,16.67188038378324,-6.571475775845382
2005-04-13,17.403560255413577,-5.839795904215045
2005-04-15,21.754397837168774,-1.4889583224598475
2005-04-18,22.6826110800985,-0.5607450795301219
2005-04-19,24.728893936159817,0.0
2005-04-20,27.10901907059159,0.0
2005-04-25,25.7485245702887,-1.360494500302888
2005-04-27,23.2485245702887,-3.860494500302888
2005-04-28,24.511762157183615,-2.597256913407975
2005-05-04,26.441354095853974,-0.6676649747376153
2005-05-05,27.37383954711487,0.0
2005-05-06,24.873839547114926,-2.499999999999943
2005-05-10,22.37383954711498,-4.99999999999989
2005-05-12,24.84752203908588,-2.5263175080289884
2005-05-13,26.072929706994472,-1.3009098401203971
2005-05-16,27.869915224514237,0.0
2005-05-18,25.369915224514116,-2.500000000000121
2005-05-19,22.66811462370325,-5.201800600810987
2005-05-20,24.341011918955896,-3.528903305558341
2005-05-25,26.54644858207461,-1.3234666424396266
2005-05-27,27.64742509101474,-0.2224901334994982
2005-06-01,28.54007344176392,0.0
2005-06-02,29.325949853593404,0.0
2005-06-03,31.901309855120314,0.0
2005-06-06,33.263526570329866,0.0
2005-06-13,30.763526570329997,-2.4999999999998685
2005-06-14,35.987690661369435,0.0
2005-06-15,37.10219701241009,0.0
2005-06-16,37.969185705671705,0.0
2005-06-17,35.469185705671734,-2.4999999999999716
2005-06-23,34.23143594626651,-3.7377497594051974
2005-06-24,33.56942761280752,-4.399758092864182
2005-06-28,35.91387724292806,-2.055308462743646
2005-06-29,36.761923671319195,-1.2072620343525102
2005-06-30,34.261923671319195,-3.7072620343525102
2005-07-05,35.429045397760646,-2.5401403079110594
2005-07-06,37.02714695752259,-0.9420387481491161
2005-07-08,38.707921463233944,0.0
2005-07-13,41.23643185305858,0.0
