candidate,dataset_period,ym,trades,pnl_pts,exp_pts,exp_sg
PREFADE-F,NAS100_2026,2026-03,2,-16.678731576845166,-8.339365788422583,-0.2246179151174994
PREFADE-F,NAS100_2026,2026-04,7,-96.58897154304941,-13.798424506149916,-0.5621579012040631
PREFADE-F,NAS100_2026,2026-05,4,354.6252671909133,88.65631679772832,1.7911445386669693
PREFADE-F,NAS100_2026,2026-06,2,209.0203065285823,104.51015326429115,1.8911561491391158
PREFADE-F,NAS100_2026,2026-07,3,-28.85216643081003,-9.61738881027001,-0.10299738212840055
PREFADE-F,NAS100_2026,2026-08,6,-178.88264350800455,-29.81377391800076,-0.7267126392069736
PREFADE-F,NAS100_2026,2026-09,1,-76.27000000000044,-76.27000000000044,-0.7913101021005681
PREFADE-F,NAS100_TRAIN,2005-01,4,8.866801885392078,2.2167004713480196,1.77726964802075
PREFADE-F,NAS100_TRAIN,2005-02,14,3.9967118483675677,0.28547941774054053,-0.030677593391703395
PREFADE-F,NAS100_TRAIN,2005-03,11,-10.453794741569254,-0.9503449765062958,-0.24194008561813626
PREFADE-F,NAS100_TRAIN,2005-04,12,14.143323433116166,1.1786102860930139,1.0013187488035502
PREFADE-F,NAS100_TRAIN,2005-05,13,20.504069558249284,1.5772361198653295,1.1654320128538447
PREFADE-F,NAS100_TRAIN,2005-06,7,10.163381637794146,1.4519116625420208,0.9522393158539779
PREFADE-F,NAS100_TRAIN,2005-07,12,8.649016468033096,0.7207513723360913,0.22941314539315996
PREFADE-F,NAS100_TRAIN,2005-08,12,-4.180167867194996,-0.34834732226624965,-0.04138291094350233
PREFADE-F,NAS100_TRAIN,2005-09,6,7.493240127174886,1.2488733545291477,0.5879304274134635
PREFADE-F,NAS100_TRAIN,2005-10,11,0.8733631151774262,0.07939664683431147,-0.13285211446044215
PREFADE-F,NAS100_TRAIN,2005-11,15,6.68289401384618,0.44552626758974534,0.20031199036955302
PREFADE-F,NAS100_TRAIN,2005-12,11,7.348137588895042,0.6680125080813675,0.6549099277314628
PREFADE-F,NAS100_TRAIN,2006-01,9,6.626614449484578,0.7362904943871753,0.5864886176754129
PREFADE-F,NAS100_TRAIN,2006-02,9,-2.5526878701780333,-0.28363198557533703,-0.0074364570596823715
PREFADE-F,NAS100_TRAIN,2006-03,11,-11.347152531773418,-1.0315593210703107,-0.7943489619992906
PREFADE-F,NAS100_TRAIN,2006-04,11,5.999547506735553,0.545413409703232,0.43878880469946363
PREFADE-F,NAS100_TRAIN,2006-05,5,-3.0594987015335846,-0.6118997403067169,-0.38576717859763765
PREFADE-F,NAS100_TRAIN,2006-06,9,10.892622594922614,1.210291399435846,0.7090630103999724
PREFADE-F,NAS100_TRAIN,2006-07,8,-2.1025179499447404,-0.26281474374309255,-0.12899562133647316
PREFADE-F,NAS100_TRAIN,2006-08,9,-14.770815249830775,-1.6412016944256418,-1.5271837317201866
PREFADE-F,NAS100_TRAIN,2006-09,12,3.9207291562304363,0.3267274296858697,0.2901150228463822
PREFADE-F,NAS100_TRAIN,2006-10,10,-0.08705046725685861,-0.008705046725685861,-0.10160399153224849
PREFADE-F,NAS100_TRAIN,2006-11,10,5.36555052397398,0.536555052397398,0.2991786039384984
PREFADE-F,NAS100_TRAIN,2006-12,7,0.8388148015540082,0.11983068593628689,0.07685518821225365
PREFADE-F,NAS100_TRAIN,2007-01,9,6.851315382771418,0.7612572647523798,0.5407399122082062
PREFADE-F,NAS100_TRAIN,2007-02,6,-7.25917988853098,-1.2098633147551634,-1.1086804131722463
PREFADE-F,NAS100_TRAIN,2007-03,9,4.061392501491355,0.4512658334990394,0.01896136789322347
PREFADE-F,NAS100_TRAIN,2007-04,11,-0.680020145043045,-0.06182001318573136,-0.028612940101203996
PREFADE-F,NAS100_TRAIN,2007-05,11,17.657932448258634,1.6052665862053304,0.809994345827358
PREFADE-F,NAS100_TRAIN,2007-06,9,28.663348405171064,3.1848164894634516,1.4573123629024025
PREFADE-F,NAS100_TRAIN,2007-07,4,2.9321159933592753,0.7330289983398188,0.6254404065961034
PREFADE-F,NAS100_TRAIN,2007-08,10,17.25192904413848,1.7251929044138479,0.11023706416965942
PREFADE-F,NAS100_TRAIN,2007-09,8,21.435595752402605,2.6794494690503257,1.0672499843669496
PREFADE-F,NAS100_TRAIN,2007-10,9,3.005427776256056,0.3339364195840062,0.14906030901166054
PREFADE-F,NAS100_TRAIN,2007-11,3,-9.654295637891892,-3.2180985459639637,-1.159057502489125
PREFADE-F,NAS100_TRAIN,2007-12,6,-4.741499923151423,-0.7902499871919039,-0.7287816259819525
PREFADE-F,NAS100_TRAIN,2008-01,9,57.377378947240004,6.375264327471111,0.6449556340977698
PREFADE-F,NAS100_TRAIN,2008-02,9,1.0947175915187017,0.12163528794652241,-0.052261022457712566
PREFADE-F,NAS100_TRAIN,2008-03,5,18.821226319903417,3.7642452639806834,0.6108002428810317
PREFADE-F,NAS100_TRAIN,2008-04,8,9.851998386729974,1.2314997983412468,0.32189538351376246
PREFADE-F,NAS100_TRAIN,2008-05,5,1.098211324828526,0.2196422649657052,0.3674179974011068
PREFADE-F,NAS100_TRAIN,2008-06,6,5.424007572264145,0.9040012620440242,0.2876155018835224
PREFADE-F,NAS100_TRAIN,2008-07,3,13.175753157599047,4.391917719199682,1.2440569041157417
PREFADE-F,NAS100_TRAIN,2008-08,11,33.611367393511955,3.055578853955632,1.1816569837709558
PREFADE-F,NAS100_TRAIN,2008-09,3,-15.229928253558683,-5.0766427511862275,-1.1686941647161262
PREFADE-F,NAS100_TRAIN,2008-10,7,62.16739103890336,8.88105586270048,1.4238614622137755
PREFADE-F,NAS100_TRAIN,2008-11,3,25.795673368952748,8.598557789650917,1.5319471511294591
PREFADE-F,NAS100_TRAIN,2008-12,6,21.552744584517768,3.592124097419628,1.1470190875877622
