sslope_q,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
against,9053,0.2929415663316028,0.42803490555616924,0.5808019441069259,41.0,0.6462160176340925,0.01914101520857153,1.324605121519105,1.2996867493261386
q2,9053,0.18723075223682756,0.34165470009941457,0.5344084833756766,64.0,0.6182961556715709,0.12805554929237634,1.0583942862818014,1.1470599742187717
q3,9052,0.2550817498895272,0.42410517012814847,0.62129916040654,54.0,0.6154106498194946,0.1335991242046061,1.255108922930546,1.3228877294629502
q4,9053,0.33668397216392354,0.5210427482602452,0.6960123715895283,42.0,0.6201714349326506,0.11862082021920196,1.5079722465879115,1.5662795197908523
with,9053,0.45918480061857947,0.6385728487794101,0.7975256820943334,30.0,0.6122923588039867,0.12201484204385635,1.85210387293131,1.8691920970583158
