speed_q,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
slow,7381,0.36634602357404145,0.5514157973174366,0.7169760195095516,38.0,0.5977250658898599,0.13868580662336627,1.5615432478289535,1.6881277126179441
q2,7381,0.33152689337488145,0.5027774014361198,0.677956916406991,40.0,0.60879305516662,0.13932915271214794,1.4313835088713656,1.53730721946559
q3,7380,0.3121951219512195,0.4750677506775068,0.6443089430894309,43.0,0.6096906342703772,0.1523327099218102,1.3538648654220862,1.4324642523635802
q4,7381,0.26825633383010433,0.43747459693808427,0.6184798807749627,48.0,0.6213897626537032,0.14645682356436004,1.3067242701265744,1.3176865610173394
fast,7381,0.227611434764937,0.379352391274895,0.5561577022083728,55.0,0.6414112203585888,0.11502828431683502,1.2196755005456745,1.1823224303234192
