touch_bucket,side,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
1,-1,2429,0.5294359818855496,0.6974063400576369,0.829971181556196,23.0,0.6206040546131568,0.12358305628720238,2.162405340353963,2.293159113326793
1,1,2477,0.5167541380702463,0.6750100928542592,0.8138877674606378,23.0,0.6222583265637693,0.1045144834091006,2.1968090178020256,2.2842335269281975
2,-1,2314,0.4546240276577355,0.6266205704407951,0.7778738115816768,29.0,0.5968586387434555,0.16992066941073533,1.7463426297452813,1.9662419227695858
2,1,2369,0.42043056141831997,0.5960320810468552,0.7496834107218235,33.0,0.6254280821917808,0.08208693764860146,1.8439602528523023,1.7691990824015413
3,-1,2167,0.4028610982925704,0.5796031379787725,0.7415782187355792,33.0,0.5914179104477612,0.18759788940185076,1.568535905720527,1.7804805324820057
3,1,2230,0.35112107623318384,0.525560538116592,0.6977578475336322,40.0,0.6293418647166362,0.08471737331160305,1.7079938249196727,1.5175539023182425
4,-1,15385,0.2534286642833929,0.4206694832629184,0.6076698082547937,52.0,0.6179737003474824,0.11671325774701197,1.2351402687029012,1.2945894028520266
4,1,15893,0.2323035298559114,0.3886616749512364,0.573900459321714,55.0,0.633032430625209,0.0768535640783633,1.1954367258039948,1.1926676847321205
