sslope_q,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
against,7381,0.2780111096057445,0.4114618615363772,0.5599512261211218,43.0,0.6463785757760194,0.03104474791398159,1.2993765633715222,1.24846463890852
q2,7381,0.19374068554396423,0.34710743801652894,0.5394932935916542,61.0,0.617314385150812,0.14180786824860947,1.090854854967258,1.1271664958930767
q3,7380,0.2654471544715447,0.44173441734417346,0.6315718157181572,51.0,0.6200498476876212,0.13379270671380716,1.3127571563850793,1.3869898111609815
q4,7381,0.32529467551822244,0.5168676331120444,0.6962471209863162,43.0,0.6026589912280702,0.18473570701614261,1.4670878641086655,1.6008132803097332
with,7381,0.4434358488009755,0.6289120715350224,0.7866142799078716,31.0,0.5949143323361435,0.1899751008279681,1.8433206783830869,1.8901471452715288
