cross_b,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
0,112,0.23214285714285715,0.4107142857142857,0.6428571428571429,62.0,0.5945945945945946,0.2316603444352738,1.2087807335313236,1.249489008879371
1-2,394,0.39086294416243655,0.6065989847715736,0.751269035532995,34.0,0.5382653061224489,0.3872180110110662,1.3785105692322321,1.732280549291238
3-5,1590,0.3987421383647799,0.5729559748427673,0.7440251572327043,37.0,0.5890932149651237,0.2193015962956156,1.632208816244938,1.6263878928109121
6-10,4284,0.4007936507936508,0.596171802054155,0.7607376283846872,35.0,0.6063954855396191,0.14994083502464106,1.7358787684332657,1.7537703804160019
>10,30524,0.2812213340322369,0.44443716419866336,0.6195452758485126,47.0,0.619505636570483,0.12866039001731408,1.3213954685751101,1.3682562711181
