speed_q,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
slow,9053,0.3739092013697117,0.5468905335247984,0.7193195625759417,37.0,0.5884472469316518,0.16902015613569882,1.520150263943728,1.6643401501248285
q2,9053,0.3726941345410361,0.5463382304208549,0.7105931735336353,38.0,0.6209978504355697,0.07651449878430105,1.566574380838296,1.601487895495929
q3,9052,0.3212549712770658,0.49392399469730447,0.666261599646487,43.0,0.6206265721472674,0.10339320824472516,1.4080895776539386,1.472643314480371
q4,9053,0.25858831326632054,0.4165470009941456,0.6021208439191428,51.0,0.6370206317752651,0.08133923508210184,1.2705201886701765,1.278804012110692
fast,9053,0.2046835303214404,0.34971832541698883,0.531757428476748,59.0,0.6450272964633278,0.09585559337654753,1.1447901566995322,1.1147169596925446
