dw_q,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
opp,9053,0.4457086048823594,0.6363636363636364,0.8101181928642439,32.0,0.6058394160583942,0.1396084289286229,1.854935562672455,2.0051498529596072
q2,9053,0.23008947310283884,0.38517618469015796,0.5757207555506462,56.0,0.618931475029036,0.11910434006694608,1.168722446508769,1.2099689678781713
q3,9052,0.21254971277065843,0.3620194432169686,0.5444100751215201,58.0,0.6346793349168646,0.07927828510900223,1.1653890128204254,1.1102075851849482
q4,9053,0.20037556611068155,0.3480614161051585,0.5277808461283553,60.0,0.6349660350375402,0.07834976025706052,1.0850620417857768,1.0693364754260462
same,9053,0.44239478625869877,0.6217828344195294,0.7720092786921462,31.0,0.6176731793960923,0.10816623079265962,1.8280629598621307,2.007846377909256
