tod,1.0,1.5,2.0,2.5,3.0
00-04,0.7307692307692307,0.6082205598049929,0.512393725302359,0.44884880132921906,0.44317460317460317
04-08,0.5996621621621622,0.4354010695187166,0.32469155083554585,0.24268035013582856,0.19308125502815768
08-0930,0.7323879231473011,0.6148445336008024,0.5181750741839762,0.44500723589001445,0.40847784200385356
0930-10,0.7890865954922894,0.677927283137704,0.5770295202952029,0.5150537634408602,0.4050632911392405
10-1030,0.7150555742674302,0.5756302521008403,0.46687211093990755,0.4016477857878476,0.3118279569892473
1030-1130,0.5752433936022253,0.4198221929535726,0.27867342238599724,0.19492293744333636,0.14666666666666667
1130-13,0.4876928126025599,0.28225175918686474,0.16024567280848687,0.09539121114683816,0.07303370786516854
13-15,0.4871727748691099,0.29393063583815027,0.18078381795195955,0.137904468412943,0.12028725314183124
15-16,0.41487279843444225,0.25,0.13568215892053972,0.07017543859649122,0.05625
16-17,0.08823529411764706,0.041189931350114416,0.0243161094224924,0.017543859649122806,0.0
17-24,0.7976031957390146,0.7071290944123314,0.6292592828482262,0.5975852461191455,0.5726495726495726
