dw_q,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
opp,7381,0.4217585692995529,0.6161766698279366,0.7931174637582983,34.0,0.588259274357929,0.21435849143152508,1.7314629472515748,2.006399192758509
q2,7381,0.23032109470261483,0.3958813168947297,0.5767511177347243,54.0,0.6250178699070765,0.1163396909622917,1.24166892488985,1.2077051618260652
q3,7380,0.24444444444444444,0.3926829268292683,0.5560975609756098,50.0,0.6258148631029987,0.11528841073714646,1.2092535347789428,1.1515445045850088
q4,7381,0.2183985909768324,0.36824278553041595,0.5408481235604932,56.0,0.6167231971685592,0.1393772692020571,1.0724034290417437,1.1255163255274363
same,7381,0.3910039290069096,0.5730930768188592,0.7470532448177754,37.0,0.6233908518214187,0.1042014847980516,1.7716547083302228,1.8768876679561084
