tod,1.0,1.5,2.0,2.5,3.0
00-04,0.7343582409724705,0.6320319704887796,0.5382649225680349,0.47987897125567325,0.4543103448275862
04-08,0.5937056059447055,0.45212436516784343,0.3458030895216825,0.27042660882140274,0.23276723276723277
08-0930,0.7870714129722647,0.7053076313704779,0.6270022883295194,0.5484871993793639,0.49464668094218417
0930-10,0.8183912459205221,0.7355445988346033,0.658344733242134,0.591655266757866,0.4990583804143126
10-1030,0.7185140440954394,0.5973084886128365,0.48711943793911006,0.4097914777878513,0.39572192513368987
1030-1130,0.5619292237442922,0.40606251973476476,0.27052489905787347,0.24366812227074236,0.21428571428571427
1130-13,0.43814789219073946,0.25301204819277107,0.15823152995927864,0.11136363636363636,0.08357348703170028
13-15,0.45617474096891625,0.27307940606843123,0.18579990779160904,0.14411247803163443,0.1471861471861472
15-16,0.3822562979189485,0.22679738562091503,0.12654867256637167,0.09547738693467336,0.0776255707762557
16-17,0.14800759013282733,0.0915032679738562,0.05,0.01485148514851485,0.017543859649122806
17-24,0.7832159759898418,0.6883081155433287,0.6077981651376146,0.5612467306015693,0.49468417761100686
