tod,1.0,1.5,2.0,2.5,3.0
00-04,11188,9759,6651,3305,1160
04-08,9151,8073,5373,2766,1001
08-0930,4579,3787,2622,1289,467
0930-10,5209,4462,2924,1462,531
10-1030,3311,2898,2135,1103,374
1030-1130,3504,3167,2229,1145,420
1130-13,2894,2573,1719,880,347
13-15,3571,3098,2169,1138,462
15-16,1826,1530,1130,597,219
16-17,527,459,360,202,114
17-24,17326,14540,9592,4588,1599
