cross_b,n,P_vwap_30,P_vwap_60,P_vwap_120,med_t_vwap,P_stopfirst_1s,rev1s_mean,mae60_med_sg,mfe60_med_sg
0,99,0.3939393939393939,0.5555555555555556,0.7575757575757576,41.0,0.5151515151515151,0.35394188717897435,1.4097384891611482,1.411852889626507
1-2,516,0.43410852713178294,0.6511627906976745,0.7635658914728682,33.0,0.5525291828793775,0.3092127549560414,1.5469279767089055,1.6412955556843718
3-5,1764,0.44160997732426305,0.608843537414966,0.7851473922902494,31.0,0.5989731888191672,0.16705387595136117,1.6195156164713425,1.7744821112184872
6-10,4712,0.4083191850594228,0.583616298811545,0.7404499151103565,34.0,0.6208226221079691,0.12144839052248854,1.7294269213607527,1.7152540618519918
>10,38173,0.2854111544809158,0.44769863516097763,0.6260445864878317,47.0,0.6246397892252381,0.09697294107320166,1.3227945780490065,1.3659634934083764
