date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262166,0.0,0.0036429852671262166,0.8273631245820254
2015-02-08,sell,stop_full,240.092419929866,1.0,0.0036429852671262166,0.8729038422560763,0.0,0.8729038422560763
2015-03-08,buy,entry,276.322613676213,1.0,0.0031526971594096295,0.0,0.0031526971594096295,0.8680574373486185
2015-04-05,sell,stop_full,248.336934541204,1.0,0.0031526971594096295,0.7813652858083397,0.0,0.7813652858083397
2015-07-19,buy,entry,292.649223845704,1.0,0.0026646428929897477,0.0,0.0026646428929897477,0.7335281968355235
2015-07-26,sell,stop_full,279.114393045003,1.0,0.0026646428929897477,0.7422527033909974,0.0,0.7422527033909974
2015-11-08,buy,entry,364.616627995324,1.0,0.0020316439355540297,0.0,0.0020316439355540297,0.7565844652034497
2016-08-14,sell,stop_partial,591.629283869083,0.5,0.0010158219677770149,0.5997880432877292,0.0010158219677770149,1.1802155735159134
2018-01-28,sell,stop_full,10737.3505774401,1.0,0.0010158219677770149,11.485210162390025,0.0,11.485210162390025
2019-04-14,buy,entry,5283.42302483928,1.0,0.0021694809477339344,0.0,0.0021694809477339344,11.187588117321418
2019-10-06,sell,stop_partial,8282.3654541204,0.5,0.0010847404738669672,8.966248593387077,0.0010847404738669672,17.486461763953567
2020-03-22,sell,stop_full,5012.92738778492,1.0,0.0010847404738669672,14.393098373013416,0.0,14.393098373013416
2020-04-26,buy,entry,6853.27341478667,1.0,0.00209598665693875,0.0,0.00209598665693875,16.105705092451096
2021-03-07,sell,stop_partial,49634.4471092928,0.5,0.001047993328469375,51.912536293939304,0.001047993328469375,105.45081412104203
2021-05-30,sell,stop_full,38630.4091186441,1.0,0.001047993328469375,92.31597850425607,0.0,92.31597850425607
2023-11-05,buy,entry,34495.1050207481,1.0,0.0026708634462394736,0.0,0.0026708634462394736,93.76077352752667
2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0013354317231197368,75.55676524691746,0.0013354317231197368,157.03817715930674
2026-02-15,sell,stop_full,70244.1017773232,1.0,0.0013354317231197368,169.1753547186554,0.0,169.1753547186554
2026-03-22,buy,entry,74723.9575534775,1.0,0.0022594852425890837,0.0,0.0022594852425890837,153.68601401981124
2026-03-29,sell,stop_full,70726.2110461718,1.0,0.0022594852425890837,159.48522046282008,0.0,159.48522046282008
2026-04-19,buy,entry,74632.7455856224,1.0,0.002132668246900243,0.0,0.002132668246900243,157.6152820683663
