time,equity
2010-07-25,0.9007096227516574
2010-08-01,1.088893641288851
2010-08-08,1.0853293413173652
2010-08-15,1.1604992194787176
2010-08-22,1.174953466199437
2010-08-29,1.140575990875392
2010-09-05,1.0986954662104365
2010-09-12,1.0960222412318221
2010-09-19,1.1174080410607359
2010-09-26,1.1049329911605361
2010-10-03,1.088267545230154
2010-10-10,1.7312910081981823
2010-10-17,1.817792985457656
2010-10-24,2.0496506986027945
2010-10-31,3.43063872255489
2010-11-07,6.059309951525521
2010-11-14,4.97291132021671
2010-11-21,4.932100085543199
2010-11-28,4.836018661516413
2010-12-05,3.6150915585544268
2010-12-12,3.918121113538138
2010-12-19,4.278942115768463
2010-12-26,4.722022515876658
2011-01-02,5.345915312232678
2011-01-09,5.756344453949245
2011-01-16,6.893177929854577
2011-01-23,7.884231536926149
2011-01-30,8.503386689091549
2011-02-06,16.003706871970344
2011-02-13,18.712574850299404
2011-02-20,15.41559737667522
2011-02-27,15.950832523397724
2011-03-06,15.767945771227865
2011-03-13,15.905510407755918
2011-03-20,13.214642144282864
2011-03-27,14.649272882805816
2011-04-03,13.882948388936414
2011-04-10,13.065954173309898
2011-04-17,19.57018281109157
2011-04-24,29.084406539680106
2011-05-01,55.143775903149056
2011-05-08,68.5890429315036
2011-05-15,123.41254712958654
2011-05-22,119.61712360534004
2011-05-29,149.717591107757
2011-06-05,294.8271741563213
2011-06-12,335.93785163871183
2011-06-19,312.0672368005079
2011-06-26,291.58365440155757
2011-07-03,275.4767351099747
2011-07-10,260.6026794828147
2011-07-17,236.27985655348766
2011-07-24,249.367607223143
2011-07-31,238.32524419517037
2011-08-07,151.51470794530172
2011-08-14,192.59375474962218
2011-08-21,202.35388759510266
2011-08-28,160.943584255885
2011-09-04,146.19815016893662
2011-09-11,104.3075273119953
2011-09-18,93.32642354932777
2011-09-25,95.18739095658559
2011-10-02,89.23336535370439
2011-10-09,73.27549621263438
2011-10-16,64.33101148667005
2011-10-23,56.09764274781829
2011-10-30,58.05181998447783
2011-11-06,52.8001243380318
2011-11-13,53.22165139954716
2011-11-20,39.242755732169236
2011-11-27,44.15392342454609
2011-12-04,50.2511757919413
2011-12-11,57.90684429650342
2011-12-18,56.922063175144174
2011-12-25,75.45385795995884
2012-01-01,94.36203980116909
2012-01-08,126.4729570561641
2012-01-15,125.58672936543199
2012-01-22,112.32832953321875
2012-01-29,96.08335930522688
2012-02-05,101.19253844319378
2012-02-12,98.35858941922442
2012-02-19,78.22839068669037
2012-02-26,87.79620850350727
2012-03-04,86.15170518943737
2012-03-11,87.18328969930212
2012-03-18,93.92195939172834
2012-03-25,81.12828383268534
2012-04-01,85.42425287606305
2012-04-08,85.1657194398879
2012-04-15,88.42315972338537
2012-04-22,92.59354495900912
2012-04-29,87.37179529644051
2012-05-06,89.9593807552716
2012-05-13,88.12366434576793
2012-05-20,90.7863018327543
2012-05-27,91.50656071800631
2012-06-03,92.89822114350247
2012-06-10,97.26784946638402
2012-06-17,110.49270188228365
2012-06-24,113.17532860304267
2012-07-01,118.10058619089784
2012-07-08,121.12057470597752
2012-07-15,135.92876496526858
2012-07-22,151.59970316734817
2012-07-29,155.89678962189177
2012-08-05,192.5633978036249
2012-08-12,206.5966707625909
2012-08-19,139.55342603908827
2012-08-26,187.9371746196179
2012-09-02,182.24472842950706
2012-09-09,197.14313325632307
2012-09-16,211.84258668102547
2012-09-23,216.80679758875823
2012-09-30,220.83729813271495
2012-10-07,211.6124373633127
2012-10-14,207.6307734680924
2012-10-21,207.75255570827989
2012-10-28,190.86758775073247
2012-11-04,192.41664692865163
2012-11-11,193.21786139876852
2012-11-18,207.899041776178
2012-11-25,223.2978594555906
2012-12-02,222.7321206974462
2012-12-09,237.85484193589966
2012-12-16,237.611581775082
2012-12-23,237.34861984722164
2012-12-30,239.6103115010693
2013-01-06,240.67038259000034
2013-01-13,252.36648608310702
2013-01-20,280.1467090345488
2013-01-27,318.37446561914925
2013-02-03,366.74757063063515
2013-02-10,425.9390033700653
2013-02-17,479.8840065652285
2013-02-24,532.5571801468866
2013-03-03,613.9816881328771
