time,rv26,rv52,rv104,semivol_down52,range_hebdo_norm,iqr52,dd_from_ath,log_cap,log_price,t_years
2010-07-25,,,,,,,0.0,12.087685932563902,-2.9849779421970335,0.0
2010-08-01,,,,,,,0.0,12.29674664027237,-2.7952434128045875,0.019164955509924708
2010-08-08,,,,,,,-0.003273322422258529,12.3132350143751,-2.7985221042662856,0.038329911019849415
2010-08-15,,,,,,,0.0,12.400966515490378,-2.7315553114254585,0.057494866529774126
2010-08-22,,,,,,,0.0,12.428264084056114,-2.719177042006943,0.07665982203969883
2010-08-29,,,,,,,-0.02925858454228314,12.416320604964968,-2.7488721956224653,0.09582477754962354
2010-09-05,,,,,,,-0.06490299589112114,12.393788377566375,-2.7862820493717835,0.11498973305954825
2010-09-12,,,,,,,-0.06717817108360025,12.405709670575451,-2.7887181041696647,0.13415468856947296
2010-09-19,,,,,,,-0.04897676954376795,12.442707893218271,-2.769393831343262,0.15331964407939766
2010-09-26,,,,,,,-0.05959425377533678,12.44893293809952,-2.7806208939370456,0.17248459958932238
2010-10-03,,,,,,,-0.07377817374306872,12.447344208169774,-2.795818561837955,0.19164955509924708
2010-10-10,,,,,,,0.0,12.924731221980116,-2.331538207865455,0.2108145106091718
2010-10-17,,,,,,,0.0,12.989923503142553,-2.282782465697866,0.2299794661190965
2010-10-24,,,,,,,0.0,13.127159723524265,-2.162736197877647,0.24914442162902123
2010-10-31,,,,,,,0.0,13.659597555324664,-1.647659125254298,0.2683093771389459
2010-11-07,,,,,,,0.0,14.24431647107356,-1.0788096613719298,0.2874743326488706
2010-11-14,,,,,,,-0.17929411764705883,14.063850640149003,-1.2764001382615222,0.3066392881587953
2010-11-21,,,,,,,-0.186029411764706,14.069735072832822,-1.2846407073933908,0.3258042436687201
2010-11-28,,,,,,,-0.20188623783820892,14.062931408305078,-1.3043137939648521,0.34496919917864477
2010-12-05,,,,,,,-0.40338230137174713,13.787138713223843,-1.595288402893372,0.36413415468856947
2010-12-12,,,,,,,-0.3533717296386707,13.882485827443347,-1.5147933544575143,0.38329911019849416
2010-12-19,,,,,,,-0.2938235294117647,13.982759351747312,-1.4266997757549296,0.4024640657084189
2010-12-26,,,,,,,-0.22069962526214415,14.092581289111068,-1.3281683786399736,0.4216290212183436
2011-01-02,,,,,,,-0.11773529411764705,14.228526320002628,-1.2040728093262694,0.4407939767282683
2011-01-09,,,,,,,-0.050000000000000044,14.313245197484257,-1.1301029557594804,0.459958932238193
2011-01-16,,,,,0.16658287751468712,,0.0,14.505196852059616,-0.949873368891281,0.4791238877481177
2011-01-23,1.370790262494222,,,,0.15480610701444938,,0.0,14.650971760702054,-0.815540828774012,0.49828884325804246
2011-01-30,1.361855598633462,,,,0.15146845978185192,,0.0,14.737628315679558,-0.7399410674310265,0.5174537987679672
2011-02-06,1.5636547555836615,,,,0.16508360848178175,,0.0,15.381323488677314,-0.10758521067993743,0.5366187542778919
2011-02-13,1.564422173308955,,,,0.16853221028832602,,0.0,15.550088377788319,0.04879016416943204,0.5557837097878165
2011-02-20,1.6166501586268351,,,,0.17502273176238334,,-0.17619047619047623,15.369662848846502,-0.14502577205025774,0.5749486652977412
2011-02-27,1.6085810400034237,,,,0.18101146356034015,,-0.14758750994962577,15.418314819821571,-0.11089456189130718,0.5941136208076659
2011-03-06,1.6043449022826266,,,,0.18137453192460826,,-0.1573609779855829,15.41937128198869,-0.12242645490597749,0.6132785763175906
2011-03-13,1.6029088112514618,,,,0.18235003226532379,,-0.15000952380952381,15.437400525763227,-0.1137399698729063,0.6324435318275154
2011-03-20,1.6505255526762932,,,,0.1886003835022937,,-0.29380952380952374,15.259725942410787,-0.2990801174041502,0.6516084873374401
2011-03-27,1.643121429465532,,,,0.19396329227242173,,-0.2171428571428572,15.371760392568232,-0.1960148839259572,0.6707734428473648
2011-04-03,1.649602300177992,,,,0.1942666434757864,,-0.25809523809523816,15.328543159156458,-0.24974423311138874,0.6899383983572895
2011-04-10,1.5723486937385014,,,,0.18394400617064038,,-0.3017554089783191,15.2778104704746,-0.3103956564955026,0.7091033538672142
