date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262166,0.0,0.0036429852671262166,0.8273631245820254
2016-08-21,sell,stop_partial,566.564441320865,0.5,0.0018214926335631083,1.029928970392144,0.0018214926335631083,2.087837670802917
2018-02-11,sell,stop_full,6849.54255932203,1.0,0.0018214926335631083,13.481367502844057,0.0,13.481367502844057
2019-04-14,buy,entry,5283.42302483928,1.0,0.00254654199037602,0.0,0.00254654199037602,13.132018025578335
2019-12-01,sell,stop_partial,7139.04468597312,0.5,0.00127327099518801,9.071758654936668,0.00127327099518801,18.516535556578766
2022-05-29,sell,stop_full,29088.2515419638,1.0,0.00127327099518801,46.03491119007385,0.0,46.03491119007385
2023-11-05,buy,entry,34495.1050207481,1.0,0.0013318708585511037,0.0,0.0013318708585511037,46.755382463430465
2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0006659354292755518,37.67764838013113,0.0006659354292755518,78.30972120006808
2026-02-08,sell,stop_full,78716.6018088837,1.0,0.0006659354292755518,89.99298204880935,0.0,89.99298204880935
2026-03-22,buy,entry,74723.9575534775,1.0,0.0012019352063072487,0.0,0.0012019352063072487,81.75341333753263
