,actuelle_cagr,actuelle_mdd,bornee_cagr,bornee_mdd
W-MON,0.6783835369174318,-0.47927814617420705,0.6848510690421967,-0.47927814617420705
W-TUE,0.6462242320589402,-0.43039248988847745,0.6470222690947063,-0.43039248988847745
W-WED,0.6200568920337901,-0.5309954376264159,0.6118467044658067,-0.5309954376264159
W-THU,0.6489815328984143,-0.5450193016467207,0.6526752700275533,-0.5450193016467207
W-FRI,0.6110491833517102,-0.4974029545984405,0.3641073869869982,-0.32412114128154823
W-SAT,0.6021108668420552,-0.538679591481173,0.6262112034061584,-0.538679591481173
W-SUN,0.6203568898331826,-0.4536556427770855,0.4572833159372489,-0.3437044469342102
