,actuelle_cagr,bornee_cagr
0.000,0.6228210517099273,0.45949948326018863
0.001,0.6215884354803685,0.45839091817952005
0.002,0.6203568898331826,0.4572833159372489
0.005,0.6166686416650358,0.4539662550143124
0.010,0.6105426503496736,0.4484567867030609
0.020,0.5983682184653207,0.4375075960788224
