date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262166,0.0,0.0036429852671262166,0.8273631245820254
2016-08-21,sell,stop_partial,566.564441320865,0.3333333333333333,0.0012143284223754055,0.6866193135947626,0.0024286568447508114,2.0971642474757934
2018-02-11,sell,stop_full,6849.54255932203,1.0,0.0024286568447508114,17.28853735686398,0.0,17.28853735686398
2019-04-14,buy,entry,5283.42302483928,1.0,0.0032656914309435424,0.0,0.0032656914309435424,16.840530766506202
2019-12-01,sell,stop_partial,7139.04468597312,0.3333333333333333,0.0010885638103145141,7.755763073997747,0.0021771276206290283,23.905101856514996
2020-03-22,sell,stop_partial,5012.92738778492,0.49999999999999994,0.001088563810314514,13.201740629398728,0.0010885638103145143,19.54867830562603
2022-05-29,sell,stop_full,29088.2515419638,1.0,0.0010885638103145143,44.80282972743808,0.0,44.80282972743808
2023-11-05,buy,entry,34495.1050207481,1.0,0.00129622457721757,0.0,0.00129622457721757,45.504018259125026
2024-07-14,sell,stop_partial,56691.9149061952,0.3333333333333333,0.00043207485907252336,24.446160841358488,0.0008641497181450467,77.17228522431085
2025-11-30,sell,stop_partial,88377.6024421391,0.49999999999999994,0.0004320748590725233,62.55552948147252,0.0004320748590725234,101.7048396194124
2026-02-08,sell,stop_full,78716.6018088837,1.0,0.0004320748590725234,96.4989711854474,0.0,96.4989711854474
2026-03-22,buy,entry,74723.9575534775,1.0,0.0012888283975000527,0.0,0.0012888283975000527,87.66372775258989
