date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262166,0.0,0.0036429852671262166,0.8273631245820254
2015-04-26,sell,stop_partial,224.894903565167,0.5,0.0018214926335631083,0.40882512134949767,0.0018214926335631083,0.8104704524742197
2017-07-23,sell,stop_full,2215.74629614261,1.0,0.0018214926335631083,4.436718746505465,0.0,4.436718746505465
2019-04-14,buy,entry,5283.42302483928,1.0,0.0008380671015074041,0.0,0.0008380671015074041,4.32174781536367
2019-10-06,sell,stop_partial,8282.3654541204,0.5,0.00041903355075370206,3.463647826870109,0.00041903355075370206,6.754992866585841
2019-12-22,sell,stop_full,6882.39579532437,1.0,0.00041903355075370206,6.341834665181615,0.0,6.341834665181615
2020-04-26,buy,entry,6853.27341478667,1.0,0.0009235260188073961,0.0,0.0009235260188073961,7.096437210073337
2021-03-07,sell,stop_partial,49634.4471092928,0.5,0.00046176300940369805,22.87351296394117,0.00046176300940369805,46.463354250279735
2021-05-30,sell,stop_full,38630.4091186441,1.0,0.00046176300940369805,40.675930745124084,0.0,40.675930745124084
2023-11-05,buy,entry,34495.1050207481,1.0,0.00117682613919227,0.0,0.00117682613919227,41.31253107433736
2024-05-19,sell,stop_partial,62886.9394491526,0.5,0.000588413069596135,36.9294900846246,0.000588413069596135,75.91742846784078
2025-04-13,sell,stop_full,79421.8044105786,1.0,0.000588413069596135,83.56885215526482,0.0,83.56885215526482
2026-03-22,buy,entry,74723.9575534775,1.0,0.0011161353171030642,0.0,0.0011161353171030642,75.917463304939
