,calmar_total,calmar_valid,calmar_test
f13_s52,1.4475580779557027,1.6518687117580277,0.7475342173304625
f13_s104,1.44935973878743,1.658472433774199,0.7475342173304625
f13_s156,1.4021031979320484,1.2380568734684843,0.7475342173304617
f26_s52,1.349191338862713,2.219008378104712,0.7475342173304629
f26_s104,1.3304550465265854,2.1765198104240033,0.7475342173304629
f26_s156,1.0390345262858414,1.6275094089041031,0.7475342173304632
f52_s104,1.3304550465265854,2.1765198104240033,0.7475342173304629
f52_s156,1.0390345262858414,1.6275094089041031,0.7475342173304632
