time,equity
2014-07-13,1.0
2014-07-20,1.0
2014-07-27,1.0
2014-08-03,1.0
2014-08-10,1.0
2014-08-17,1.0
2014-08-24,1.0
2014-08-31,1.0
2014-09-07,1.0
2014-09-14,1.0
2014-09-21,1.0
2014-09-28,1.0
2014-10-05,1.0
2014-10-12,1.0
2014-10-19,1.0
2014-10-26,1.0
2014-11-02,1.0
2014-11-09,1.0
2014-11-16,1.0
2014-11-23,1.0
2014-11-30,1.0
2014-12-07,1.0
2014-12-14,1.0
2014-12-21,1.0
2014-12-28,1.0
2015-01-04,1.0
2015-01-11,1.0
2015-01-18,1.0
2015-01-25,1.0
2015-02-01,0.8273631245820254
2015-02-08,0.816159806851933
2015-02-15,0.8540826064112274
2015-02-22,0.8622606175655553
2015-03-01,0.9495489579637955
2015-03-08,1.003052400971024
2015-03-15,1.0465208950721632
2015-03-22,0.9795966102391974
2015-03-29,0.8851274391404119
2015-04-05,0.9512276651631209
2015-04-12,0.8639013235953593
2015-04-19,0.8134208152845379
2015-04-26,0.8104704524742197
2015-05-03,0.8468289794967636
2015-05-10,0.8473157459902056
2015-05-17,0.8404527242356843
2015-05-24,0.8472798159568162
2015-05-31,0.8267676041622503
2015-06-07,0.8157678613885269
2015-06-14,0.8323351071128287
2015-06-21,0.8538162454660916
2015-06-28,0.8624829542580075
2015-07-05,0.9030005504494392
2015-07-12,0.976187071066261
2015-07-19,0.910249237339616
2015-07-26,0.9430959467916301
2015-08-02,0.9232565471086476
2015-08-09,0.8939651496181868
2015-08-16,0.8804656978275492
2015-08-23,0.8253514410133668
2015-08-30,0.8259825855494516
2015-09-06,0.8474505151535328
2015-09-13,0.8287681301996047
2015-09-20,0.8302498898120326
2015-09-27,0.8336760919058972
2015-10-04,0.8451034356643847
2015-10-11,0.8615173438591908
2015-10-18,0.8887550557790209
2015-10-25,0.9298625308091626
2015-11-01,1.0096521671538798
2015-11-08,1.0871492144246733
2015-11-15,0.9915716560094551
2015-11-22,0.9984731904631335
2015-11-29,1.085887799370886
2015-12-06,1.1252530188261798
2015-12-13,1.2000878353803057
2015-12-20,1.2142053571521376
2015-12-27,1.1787807943561306
2016-01-03,1.1923150046697644
2016-01-10,1.2259106808070261
2016-01-17,1.1055134243774978
2016-01-24,1.1437007262781174
2016-01-31,1.076113806697434
