,Buy&Hold,Actuelle_SMA156_20_40,Adaptative_2T,Adaptative_3T_graduelle,Adaptative_2T+garde_fou_SMA,Adaptative_figee_entree,Adaptative_figee+garde_fou,Actuelle+garde_fou_SMA,Adaptative_bornee_0.5,Controle_sortie_SMA
valeur_finale,123.03648308329409,303.8203387691452,93.14721056831188,99.88123278058715,80.93340175677133,86.78445731901225,83.46683271941671,165.27687784160668,86.49791674240407,38.71076059290516
rendement_total,122.03648308329409,302.8203387691452,92.14721056831188,98.88123278058715,79.93340175677133,85.78445731901225,82.46683271941671,164.27687784160668,85.49791674240407,37.71076059290516
CAGR,0.5012892496533121,0.6203568898331826,0.4664243382094211,0.47509202552091745,0.44912482633346684,0.45769029350399504,0.4529009460281159,0.5391701487442397,0.4572833159372489,0.3616414613376213
vol_annualisee,0.6785116097812167,0.473058658430175,0.5001452935916554,0.5094948335420588,0.49740526488458664,0.49516687266528137,0.49072544355940695,0.461221933780279,0.3688132466431892,0.6135580104801973
max_drawdown,-0.834008471212392,-0.4536556427770855,-0.6367507989087,-0.6455695797505653,-0.6367507989087,-0.5926050933480181,-0.5900241090084845,-0.44579352311038933,-0.3437044469342102,-0.8327601410625141
duree_max_dd_semaines,154.0,154.0,156.0,158.0,152.0,190.0,151.0,154.0,154.0,164.0
sharpe,0.906725230189426,1.2062397344465623,0.9722949085799398,0.9749129764571983,0.9499206364708284,0.9669746901212274,0.9633517323028277,1.1147384108785752,1.1479754799868982,0.7748294300037931
sortino,1.3789433259098334,1.585174575002369,1.243570332503389,1.246762477914664,1.1728365764322697,1.241815093198256,1.1985932307186038,1.3934795022731,1.2893941416430974,1.0316615288411954
calmar,0.6010601414210957,1.3674620821106147,0.7325068755450418,0.7359269092333675,0.7053384575303285,0.7723360778392906,0.7675973559609295,1.2094616022734994,1.3304550465265854,0.43426845679261855
ulcer_index,43.936019540161205,21.818123216464812,33.63586799560291,33.91564419038519,32.88994137728704,34.443059950308744,32.12625348260944,22.4226387918539,18.0556706502626,46.54039250627393
exposition_moyenne,1.0,0.4902186018102319,0.5857618395246309,0.5980437183542695,0.5211936007708643,0.6100346337163507,0.5436526062749438,0.4561801479354194,0.38419703108693465,0.7366720516962844
temps_investi_pct,1.0,0.630048465266559,0.7237479806138933,0.7237479806138933,0.6558966074313409,0.7302100161550888,0.6623586429725363,0.5702746365105008,0.49434571890145396,0.7366720516962844
nb_transactions,1.0,13.0,10.0,12.0,21.0,10.0,21.0,21.0,13.0,17.0
nb_positions_closes,1.0,5.0,4.0,4.0,9.0,4.0,9.0,9.0,5.0,9.0
taux_reussite,1.0,1.0,1.0,1.0,0.5555555555555556,1.0,0.5555555555555556,0.5555555555555556,1.0,0.4444444444444444
rendement_moyen_position,124.15829316789642,5.116487830872459,3.9909085376244593,4.789826034613901,1.5485367378376018,4.552483883753825,1.7312757645603976,2.3096626472898802,2.0858197421194102,1.2395926323309516
turnover_x_capital,0.9980039920159681,998.2184092496173,300.0177215543407,318.179949259296,444.68668643799435,293.1554157991611,470.42356974970716,899.5043661226454,271.0457568071792,229.09961264345742
couts_payes_pct_capital_initial,0.0019960079840319364,1.9964368184992345,0.6000354431086814,0.636359898518592,0.8893733728759887,0.5863108315983222,0.9408471394994143,1.7990087322452908,0.5420915136143584,0.45819922528691487
capture_hausse,0.9999999999999998,0.5857274099087317,0.643745702527558,0.6551791661353846,0.5971561522061511,0.6540225245045148,0.6071846371760105,0.5424599182710268,0.43193447920348066,0.7823179138956113
capture_baisse,1.0,0.43463029212528637,0.5764951736389401,0.5857364316602452,0.5189873751841971,0.5964589363621513,0.5332507105176729,0.41144531519721583,0.3151787895468378,0.7834668986206248
cagr_train,1.441021639046538,1.551403709416141,1.568983254339566,1.7753074999069423,1.1709548277801876,1.6499255167409603,1.2393562060433294,1.1720348120223645,0.5365072578092906,1.6208795940207184
mdd_train,-0.664802910314684,-0.3324720746570944,-0.30044390206139804,-0.3265237346982953,-0.35002017505221517,-0.3575616339785055,-0.3575616339785054,-0.35002017505221517,-0.3324720746570944,-0.3575616339785054
calmar_train,2.167592254318549,4.666267718924154,5.2222170048201955,5.436993735071996,3.3453923837547572,4.6143807387348055,3.466133075445764,3.3484778751611195,1.613691190042455,4.53314740730309
cagr_valid,0.3332057864694129,0.5256921786314681,0.24829901190001014,0.14444499561863378,0.349442640401985,0.2825294255285846,0.38644657880828714,0.5298935952645283,0.7480795376831342,0.10146293237039439
mdd_valid,-0.8031373460784024,-0.4246106862269684,-0.571467801476345,-0.580781021334843,-0.5714678014763451,-0.5229187926490771,-0.5229187926490773,-0.4246106862269684,-0.3437044469342102,-0.8016568513322533
calmar_valid,0.41488020460809866,1.2380568734684843,0.4344934417276842,0.24870818830589092,0.6114826408403511,0.540293119123347,0.7390183413576905,1.2479516235756787,2.1765198104240033,0.126566538041527
cagr_test,0.11934024395270182,0.15778027097324054,0.06979568011716086,0.10429051344848728,0.09765107069002821,0.005336256586511379,0.05577277385478596,0.14257595831735048,0.18846929110012445,-0.034371798158829514
mdd_test,-0.6568961536815241,-0.3802826332795447,-0.33891883798897315,-0.35192965588210656,-0.3183608665022458,-0.46039216368301217,-0.3610109724200625,-0.36101097242006264,-0.2521212898764308,-0.5296637482510114
calmar_test,0.18167292240009106,0.4149026465199022,0.20593626642680657,0.29633908852348523,0.3067307604822697,0.011590676400360024,0.15449052276973532,0.3949352490911355,0.7475342173304629,-0.06489362028707404
