date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262166,0.0,0.0036429852671262166,0.8273631245820254
2015-02-08,sell,stop_full,240.092419929866,1.0,0.0036429852671262166,0.8729038422560763,0.0,0.8729038422560763
2015-03-08,buy,entry,276.322613676213,1.0,0.0031526971594096295,0.0,0.0031526971594096295,0.8680574373486185
2015-04-05,sell,stop_full,248.336934541204,1.0,0.0031526971594096295,0.7813652858083397,0.0,0.7813652858083397
2015-07-19,buy,entry,292.649223845704,1.0,0.0026646428929897477,0.0,0.0026646428929897477,0.7335281968355235
2015-07-26,sell,stop_full,279.114393045003,1.0,0.0026646428929897477,0.7422527033909974,0.0,0.7422527033909974
2015-11-08,buy,entry,364.616627995324,1.0,0.0020316439355540297,0.0,0.0020316439355540297,0.7565844652034497
2018-12-16,sell,stop_full,3413.59258416131,1.0,0.0020316439355540297,6.921334262719406,0.0,6.921334262719406
2019-04-14,buy,entry,5283.42302483928,1.0,0.0013073946931366506,0.0,0.0013073946931366506,6.7419782362515965
2020-03-22,sell,stop_full,5012.92738778492,1.0,0.0013073946931366506,6.540766914541638,0.0,6.540766914541638
2020-04-26,buy,entry,6853.27341478667,1.0,0.0009524954129911532,0.0,0.0009524954129911532,7.319040020012979
2022-06-19,sell,stop_full,22316.2570400351,1.0,0.0009524954129911532,21.213620200833432,0.0,21.213620200833432
2023-11-05,buy,entry,34495.1050207481,1.0,0.0006137473021986236,0.0,0.0006137473021986236,21.545624837390513
2026-03-01,sell,stop_full,64689.9123308007,1.0,0.0006137473021986236,39.62385265414942,0.0,39.62385265414942
2026-03-22,buy,entry,74723.9575534775,1.0,0.0005292113054851616,0.0,0.0005292113054851616,35.995975800682174
2026-03-29,sell,stop_full,70726.2110461718,1.0,0.0005292113054851616,37.35425225880411,0.0,37.35425225880411
2026-04-19,buy,entry,74632.7455856224,1.0,0.0004995085277988182,0.0,0.0004995085277988182,36.91627969750879
