time,D1,D2
2014-11-30,0.32,0.55
2014-12-07,0.32,0.55
2014-12-14,0.32,0.55
2014-12-21,0.32,0.55
2014-12-28,0.32,0.55
2015-01-04,0.32,0.55
2015-01-11,0.32,0.55
2015-01-18,0.32,0.55
2015-01-25,0.32,0.55
2015-02-01,0.32,0.55
2015-02-08,0.32,0.55
2015-02-15,0.32,0.55
2015-02-22,0.32,0.55
2015-03-01,0.32,0.55
2015-03-08,0.32,0.55
2015-03-15,0.32,0.55
2015-03-22,0.32,0.55
2015-03-29,0.32,0.55
2015-04-05,0.32,0.55
2015-04-12,0.32,0.55
2015-04-19,0.32,0.55
2015-04-26,0.32,0.55
2015-05-03,0.32,0.55
2015-05-10,0.32,0.55
2015-05-17,0.32,0.55
2015-05-24,0.32,0.55
2015-05-31,0.32,0.55
2015-06-07,0.32,0.55
2015-06-14,0.32,0.55
2015-06-21,0.32,0.55
2015-06-28,0.32,0.55
2015-07-05,0.32,0.55
2015-07-12,0.32,0.55
2015-07-19,0.3173176869213718,0.55
2015-07-26,0.30520338160396765,0.55
2015-08-02,0.29963209611267705,0.55
2015-08-09,0.3016432682974729,0.55
2015-08-16,0.30140327232439745,0.55
2015-08-23,0.3084406494689457,0.55
2015-08-30,0.30305018133144573,0.55
2015-09-06,0.3022676644392043,0.55
2015-09-13,0.30177961499740474,0.55
2015-09-20,0.3002392113155972,0.55
2015-09-27,0.29584249501354465,0.55
2015-10-04,0.2935062213133148,0.55
2015-10-11,0.2894559811365874,0.55
2015-10-18,0.2860944889469235,0.55
2015-10-25,0.28762187084529955,0.55
2015-11-01,0.2939767078895952,0.55
2015-11-08,0.2881697271047255,0.55
2015-11-15,0.29090063912517944,0.55
2015-11-22,0.272555395673869,0.545110791347738
2015-11-29,0.27600354082993667,0.55
2015-12-06,0.2730044153064974,0.5460088306129948
2015-12-13,0.275164968335973,0.55
2015-12-20,0.26628613219306807,0.5325722643861361
2015-12-27,0.26572999071940046,0.5314599814388009
2016-01-03,0.2600581673197069,0.5201163346394138
2016-01-10,0.25439494019632064,0.5087898803926413
2016-01-17,0.2606785909142465,0.521357181828493
2016-01-24,0.2605818424860603,0.5211636849721206
2016-01-31,0.2647293552076596,0.5294587104153192
2016-02-07,0.26081554486276287,0.5216310897255257
2016-02-14,0.26153436079307507,0.5230687215861501
2016-02-21,0.255019509804809,0.510039019609618
2016-02-28,0.2547752490053979,0.5095504980107958
2016-03-06,0.2565734163671657,0.5131468327343314
2016-03-13,0.2549796358711183,0.5099592717422367
2016-03-20,0.2537623574010943,0.5075247148021886
2016-03-27,0.25055308975479035,0.5011061795095807
2016-04-03,0.2510447001319542,0.5020894002639084
2016-04-10,0.2502491759990878,0.5004983519981756
2016-04-17,0.24661107018402237,0.49322214036804474
2016-04-24,0.2452648713774867,0.4905297427549734
2016-05-01,0.23918296921605994,0.4783659384321199
2016-05-08,0.23392071693201177,0.46784143386402355
2016-05-15,0.22158164932013644,0.4431632986402729
2016-05-22,0.21767197524765863,0.43534395049531727
2016-05-29,0.22572120771862159,0.45144241543724317
2016-06-05,0.22781289746430317,0.45562579492860633
2016-06-12,0.23413970858047153,0.46827941716094307
2016-06-19,0.24130413281947813,0.48260826563895626
2016-06-26,0.2607780976362511,0.5215561952725022
2016-07-03,0.26113887635809385,0.5222777527161877
2016-07-10,0.2613438750712555,0.522687750142511
2016-07-17,0.2500124555880765,0.500024911176153
2016-07-24,0.2503720308268098,0.5007440616536196
2016-07-31,0.24763565987449984,0.4952713197489997
2016-08-07,0.24970456317556036,0.4994091263511207
2016-08-14,0.24691667334189232,0.49383334668378465
2016-08-21,0.24521537496849133,0.49043074993698266
2016-08-28,0.24482862653054102,0.48965725306108204
2016-09-04,0.243157753083456,0.486315506166912
2016-09-11,0.24329819724937787,0.48659639449875575
2016-09-18,0.24048647429495335,0.4809729485899067
2016-09-25,0.2404016505196878,0.4808033010393756
2016-10-02,0.237882410211706,0.475764820423412
2016-10-09,0.23569307861993954,0.4713861572398791
2016-10-16,0.2360364855819617,0.4720729711639234
2016-10-23,0.2334929278906512,0.4669858557813024
2016-10-30,0.23388261129413407,0.46776522258826814
2016-11-06,0.2328128262693127,0.4656256525386254
2016-11-13,0.23280546759941967,0.46561093519883934
2016-11-20,0.2310130041118919,0.4620260082237838
2016-11-27,0.21935452652780457,0.43870905305560914
2016-12-04,0.2176885364422926,0.4353770728845852
2016-12-11,0.20687027010360515,0.4137405402072103
2016-12-18,0.19645909011695645,0.3929181802339129
2016-12-25,0.17966177214343462,0.35932354428686925
2017-01-01,0.1820489827441778,0.3640979654883556
2017-01-08,0.18938749209592629,0.37877498419185257
2017-01-15,0.19094920737474128,0.38189841474948255
2017-01-22,0.19383685024240707,0.38767370048481414
2017-01-29,0.18964350851976006,0.3792870170395201
2017-02-05,0.19193449591502887,0.38386899183005774
2017-02-12,0.19026846244204268,0.38053692488408536
2017-02-19,0.19084334311067558,0.38168668622135116
2017-02-26,0.1943469941494665,0.388693988298933
2017-03-05,0.1953358730484342,0.3906717460968684
2017-03-12,0.19711699006852507,0.39423398013705013
2017-03-19,0.22170439998719207,0.44340879997438415
2017-03-26,0.2227864686017397,0.4455729372034794
2017-04-02,0.22968361217820293,0.45936722435640587
2017-04-09,0.2308357852625211,0.4616715705250422
2017-04-16,0.23170578129766659,0.46341156259533317
2017-04-23,0.23239183522727455,0.4647836704545491
2017-04-30,0.2339958641052932,0.4679917282105864
2017-05-07,0.23660145413591988,0.47320290827183975
2017-05-14,0.24381971056987248,0.48763942113974496
2017-05-21,0.24812414392725213,0.49624828785450426
2017-05-28,0.2479982188403185,0.495996437680637
2017-06-04,0.25114052334681874,0.5022810466936375
2017-06-11,0.25689003556121676,0.5137800711224335
2017-06-18,0.27555459597170223,0.55
2017-06-25,0.27415152670800136,0.5483030534160027
2017-07-02,0.2725548668755929,0.5451097337511858
2017-07-09,0.26687462111418786,0.5337492422283757
2017-07-16,0.2952025447247984,0.55
2017-07-23,0.32,0.55
2017-07-30,0.32,0.55
2017-08-06,0.32,0.55
2017-08-13,0.32,0.55
2017-08-20,0.32,0.55
2017-08-27,0.32,0.55
2017-09-03,0.32,0.55
2017-09-10,0.32,0.55
2017-09-17,0.32,0.55
2017-09-24,0.32,0.55
2017-10-01,0.32,0.55
2017-10-08,0.32,0.55
2017-10-15,0.32,0.55
