date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262166,0.0,0.0036429852671262166,0.8273631245820254
2015-02-08,sell,stop_full,240.092419929866,1.0,0.0036429852671262166,0.8729038422560763,0.0,0.8729038422560763
2015-03-08,buy,entry,276.322613676213,1.0,0.0031526971594096295,0.0,0.0031526971594096295,0.8680574373486185
2015-04-05,sell,stop_full,248.336934541204,1.0,0.0031526971594096295,0.7813652858083397,0.0,0.7813652858083397
2015-07-19,buy,entry,292.649223845704,1.0,0.0026646428929897477,0.0,0.0026646428929897477,0.7335281968355235
2015-07-26,sell,stop_full,279.114393045003,1.0,0.0026646428929897477,0.7422527033909974,0.0,0.7422527033909974
2015-11-08,buy,entry,364.616627995324,1.0,0.0020316439355540297,0.0,0.0020316439355540297,0.7565844652034497
2016-08-21,sell,stop_partial,566.564441320865,0.5,0.0010158219677770149,0.5743775484437359,0.0010158219677770149,1.164359016377278
2018-02-11,sell,stop_full,6849.54255932203,1.0,0.0010158219677770149,7.5183775178246846,0.0,7.5183775178246846
2019-04-14,buy,entry,5283.42302483928,1.0,0.0014201722521547271,0.0,0.0014201722521547271,7.32355000828722
2019-12-01,sell,stop_partial,7139.04468597312,0.5,0.0007100861260773636,5.05919791178593,0.0007100861260773636,10.326423087807246
2020-03-22,sell,stop_full,5012.92738778492,1.0,0.0007100861260773636,8.611688880507042,0.0,8.611688880507042
2020-04-26,buy,entry,6853.27341478667,1.0,0.0012540722309724282,0.0,0.0012540722309724282,9.636376953932285
2021-05-30,sell,stop_partial,38630.4091186441,0.5,0.0006270361154862141,24.174216350051022,0.0006270361154862141,46.529413764444996
2022-05-29,sell,stop_full,29088.2515419638,1.0,0.0006270361154862141,42.377121834703566,0.0,42.377121834703566
2023-11-05,buy,entry,34495.1050207481,1.0,0.001226044586202683,0.0,0.001226044586202683,43.04034672512152
2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0006130222931013416,34.6839008607497,0.0006130222931013416,72.08747688107857
2026-02-08,sell,stop_full,78716.6018088837,1.0,0.0006130222931013416,82.84242254328474,0.0,82.84242254328474
2026-03-22,buy,entry,74723.9575534775,1.0,0.0011064332124981805,0.0,0.0011064332124981805,75.25754406482959
2026-03-29,sell,stop_full,70726.2110461718,1.0,0.0011064332124981805,78.09732123784887,0.0,78.09732123784887
2026-04-19,buy,entry,74632.7455856224,1.0,0.001044332990157897,0.0,0.001044332990157897,77.1816427877527
