,valid_2018_21,test_2022+
M0_constante,0.2566507628191817,0.512521126351662
M1_marche_aleatoire,0.3898117703811675,0.2187663223286519
M2_exp_temps,0.26817126028887783,0.19960622112956963
M3_loi_puissance,0.2509736162332835,0.24139778680358556
M4_log_cap,0.2389516840612503,0.30335600739314744
M5_cycle,0.21565447800569224,0.2757203378013234
M6_AR_vol,0.2907837408297403,0.30789527922824805
M7_cap+ARvol,0.25878178305280414,0.24322811913624
