time,log_rv26,niveau_lisse
2011-01-23,0.3153874074726767,0.3153874074726767
2011-01-30,0.3088481805453028,0.3088481736975476
2011-02-06,0.44702587324373816,0.447025872624905
2011-02-13,0.44751653748130954,0.44751653762670185
2011-02-20,0.4803562050704892,0.48035620490040226
2011-02-27,0.4753524487737233,0.47535244878436095
2011-03-06,0.4727155126902081,0.47271551269803486
2011-03-13,0.471819985703316,0.47181998583891166
2011-03-20,0.5010937539703016,0.5010937538185237
2011-03-27,0.4965977434851369,0.4965977435230367
2011-04-03,0.500534228664887,0.5005342284316219
2011-04-10,0.45257048476490697,0.45257048516332526
2011-04-17,0.49325265678208124,0.49325265674947616
2011-04-24,0.5266803709673693,0.5266803710015984
2011-05-01,0.5677238627685812,0.5677238622516252
2011-05-08,0.4937474444537584,0.49374744501102663
2011-05-15,0.5437601957282482,0.543760195513791
2011-05-22,0.5460573836635144,0.5460573836340117
2011-05-29,0.5417903621145517,0.5417903622608398
2011-06-05,0.5700716395263539,0.5700716393895403
2011-06-12,0.5679126278552206,0.5679126279417581
2011-06-19,0.5850077473077072,0.5850077473005043
2011-06-26,0.6005002641893256,0.6005002641806746
2011-07-03,0.6140679809260576,0.6140679809141267
2011-07-10,0.6249811385157961,0.6249811385401772
2011-07-17,0.6413189601770509,0.6413189601120014
2011-07-24,0.6431836173657139,0.6431836173930697
2011-07-31,0.6511347975639777,0.6511347975763514
2011-08-07,0.6618390499994957,0.6618390499741461
2011-08-14,0.6669031552505063,0.6669031551256824
2011-08-21,0.6441946243571379,0.6441946245853747
2011-08-28,0.6722675242536631,0.6722675241563755
2011-09-04,0.6786944622911434,0.6786944624564469
2011-09-11,0.7219005425979251,0.7219005423671335
2011-09-18,0.7137567473238994,0.713756747362776
2011-09-25,0.7142627665919159,0.7142627665928261
2011-10-02,0.7149712865101419,0.7149712865665075
2011-10-09,0.7282208653050761,0.7282208651493834
2011-10-16,0.706829675584549,0.7068296755636003
2011-10-23,0.6807775133012987,0.6807775128922632
2011-10-30,0.5637171797718258,0.5637171802347851
2011-11-06,0.5496627945691777,0.5496627939676847
2011-11-13,0.4017794694758762,0.40177947028500366
2011-11-20,0.4339226219738806,0.4339226217371791
2011-11-27,0.41340097591909536,0.41340097462673303
2011-12-04,0.10533569182435608,0.10533569322628844
2011-12-11,0.10919276074848634,0.10919276074010059
2011-12-18,0.111184044115625,0.11118404450324555
2011-12-25,0.19941880325298453,0.19941880307422877
2012-01-01,0.2478813689804498,0.24788136904768965
2012-01-08,0.3113044420009877,0.3113044417038353
2012-01-15,0.3086127172224861,0.30861271723570105
2012-01-22,0.3088612437332627,0.3088612437698146
2012-01-29,0.317242381625362,0.3172423810996419
2012-02-05,0.20865365334951486,0.20865365361827762
2012-02-12,0.15986318548570472,0.15986318581309483
2012-02-19,0.18391524247594343,0.18391524230717915
2012-02-26,0.17041815746374406,0.1704181575060252
2012-03-04,0.16632840135554894,0.16632840099388382
2012-03-11,0.08177011502967144,0.08177011538739644
2012-03-18,0.07680370607904767,0.07680370618042419
2012-03-25,0.09439302236528792,0.09439302228390713
2012-04-01,0.09387555491492636,0.09387555475831669
2012-04-08,0.05851328347160081,0.058513283552001936
2012-04-15,0.04103982666251944,0.04103982664247888
2012-04-22,0.019107453562491918,0.019107453685350783
2012-04-29,0.02451051350941353,0.024510513428198634
2012-05-06,0.01184369792526048,0.011843697989034733
2012-05-13,0.013366309078260877,0.013366308509578694
2012-05-20,-0.11163978946747619,-0.11163978894816468
2012-05-27,-0.12110188328494209,-0.12110188330645283
2012-06-03,-0.13534999885196233,-0.13534999887423127
2012-06-10,-0.15455282897950032,-0.15455282883423238
2012-06-17,-0.14143432703114872,-0.1414343275592052
2012-06-24,-0.24580553366806027,-0.24580553356145832
2012-07-01,-0.32645838253752324,-0.3264583830843847
2012-07-08,-0.5287849434444778,-0.5287849423655608
2012-07-15,-0.4910583212600457,-0.4910583214770183
2012-07-22,-0.5016069176162469,-0.5016069179753336
2012-07-29,-0.5920503698576937,-0.5920503689713427
2012-08-05,-0.4852855241051972,-0.48528552459892443
2012-08-12,-0.4883723130808451,-0.4883723120017518
2012-08-19,-0.2513666842970664,-0.2513666849033088
2012-08-26,-0.149246727640845,-0.1492467280917929
2012-09-02,-0.14746023114015017,-0.1474602311355391
2012-09-09,-0.14464779609178588,-0.14464779610575287
2012-09-16,-0.14494293813166034,-0.14494293834394123
2012-09-23,-0.19246942831657118,-0.19246942810197962
2012-09-30,-0.19225045337770677,-0.19225045334700833
2012-10-07,-0.18520123874356673,-0.18520123875646183
2012-10-14,-0.18102111228085627,-0.18102111229438334
2012-10-21,-0.17985068590389094,-0.17985068587294353
2012-10-28,-0.17179462925377031,-0.17179462928691663
2012-11-04,-0.17111344770455036,-0.17111344772002127
2012-11-11,-0.17387445512081443,-0.1738744550966588
2012-11-18,-0.1712609642866135,-0.17126096429285292
2012-11-25,-0.1700357102439824,-0.1700357102430851
2012-12-02,-0.1686108072994215,-0.16861080730019634
2012-12-09,-0.16735830328128706,-0.16735830334010432
2012-12-16,-0.17919231962437698,-0.17919231956531267
2012-12-23,-0.177884846718784,-0.17788484672386246
2012-12-30,-0.17770730316051,-0.1777073031579817
2013-01-06,-0.17696722282158076,-0.17696722287639474
2013-01-13,-0.18842295522400185,-0.18842295517781948
2013-01-20,-0.18960336116227972,-0.18960336108655046
2013-01-27,-0.1739344184843826,-0.17393441869805057
2013-02-03,-0.2058054450405164,-0.20580544480556778
2013-02-10,-0.1854016751521198,-0.1854016769749567
2013-02-17,-0.5705692472819034,-0.5705692466835695
2013-02-24,-0.822610747447508,-0.8226107462133345
2013-03-03,-0.8000553384469244,-0.8000553375144411
2013-03-10,-0.5700274405458675,-0.5700274415738722
2013-03-17,-0.5687250278330526,-0.5687250265106508
2013-03-24,-0.27319537528697213,-0.2731953763437308
2013-03-31,-0.21278880832058053,-0.21278880750513332
2013-04-07,0.02905035145768767,0.029050351843029065
2013-04-14,0.3566258942730321,0.3566258928789142
2013-04-21,0.3740177472158512,0.37401774706914687
2013-04-28,0.3587686832413538,0.3587686834205216
2013-05-05,0.3833834824516523,0.3833834823485167
2013-05-12,0.38505116667579276,0.38505116667865796
2013-05-19,0.3873563466858685,0.3873563466754354
2013-05-26,0.38734021615122255,0.38734021618060904
2013-06-02,0.39386242400568533,0.3938624241450913
2013-06-09,0.43140171334087557,0.43140171317464104
2013-06-16,0.4319547270896194,0.43195472708320815
2013-06-23,0.4310812677322581,0.4310812677977162
2013-06-30,0.44477189364491354,0.4447718937262555
2013-07-07,0.4765606607473859,0.4765606606453982
2013-07-14,0.4856577158302794,0.4856577158109042
2013-07-21,0.49044390115891384,0.4904439011306969
2013-07-28,0.4889519766522098,0.4889519766485536
2013-08-04,0.48664657460517374,0.4866465746108359
2013-08-11,0.48560096112880957,0.4856009611253632
2013-08-18,0.48378854987017583,0.48378854988475295
2013-08-25,0.4852194690064674,0.485219469000445
2013-09-01,0.48531043713033045,0.48531043705773136
2013-09-08,0.4692484955366721,0.46924849560949633
2013-09-15,0.4693895523782424,0.4693895520913397
2013-09-22,0.40569630659929895,0.4056963067483824
2013-09-29,0.375173320488294,0.37517331983665286
2013-10-06,0.19966371700884789,0.1996637162053323
2013-10-13,-0.1546237476391199,-0.15462374623696415
2013-10-20,-0.19693912731524832,-0.19693912707596423
2013-10-27,-0.1860150892263454,-0.18601508943775438
2013-11-03,-0.2221284075364615,-0.22212840639918474
2013-11-10,-0.005203802674164296,-0.005203803148795705
2013-11-17,0.1061178857131713,0.10611788585666944
2013-11-24,0.24936713238610278,0.24936713172122138
2013-12-01,0.2446838692918986,0.24468386931751154
2013-12-08,0.24569934915110997,0.2456993491240697
2013-12-15,0.2406985199254343,0.24069852039066786
2013-12-22,0.33920963536459864,0.33920963485604716
2013-12-29,0.32457079087342094,0.32457079074351797
2014-01-05,0.2810292336947461,0.28102923391209433
2014-01-12,0.2858464851778435,0.28584648513168087
2014-01-19,0.2803928046208563,0.28039280468003697
2014-01-26,0.2881064981980245,0.2881064981761343
2014-02-02,0.29094975380517085,0.2909497539235389
2014-02-09,0.3201292604468379,0.3201292603858028
2014-02-16,0.33572877958301156,0.33572877952223423
2014-02-23,0.3378056715968989,0.33780567162338854
2014-03-02,0.3457763656828886,0.3457763655996527
2014-03-09,0.3352275178572881,0.3352275179175979
2014-03-16,0.338097274017207,0.3380972740722545
2014-03-23,0.35321479002971273,0.3532147901013926
2014-03-30,0.38428068701339413,0.3842806868628511
2014-04-06,0.3818515701832345,0.3818515702369362
2014-04-13,0.3913707885533773,0.3913707884802619
2014-04-20,0.38462222422267006,0.3846222242853137
2014-04-27,0.3918115248874326,0.39181152485270565
2014-05-04,0.39127426798435416,0.391274267566869
2014-05-11,0.2978488276511297,0.29784882764313714
2014-05-18,0.20264509123441798,0.20264509092781552
2014-05-25,0.03922396093847439,0.03922396156104299
2014-06-01,0.014320968879989427,0.014320968824586121
2014-06-08,-0.02290895984478611,-0.0229089596875341
2014-06-15,-0.025151166544765242,-0.025151167151487224
2014-06-22,-0.16238573155269134,-0.1623857311351597
2014-06-29,-0.2067217694085936,-0.2067217695684166
2014-07-06,-0.28661756260240995,-0.28661756226668555
2014-07-13,-0.2918165008512434,-0.29181650082783706
2014-07-20,-0.29180765061132313,-0.2918076505979667
2014-07-27,-0.28882706938758124,-0.2888270694021159
2014-08-03,-0.2890803661921427,-0.28908036641451157
2014-08-10,-0.33880952593291475,-0.33880952555036126
2014-08-17,-0.30342260606731314,-0.30342260622070827
2014-08-24,-0.3021652665935981,-0.30216526663163285
2014-08-31,-0.30937045641552513,-0.3093704565745904
2014-09-07,-0.3519668106924832,-0.35196681050076484
2014-09-14,-0.35190686169517604,-0.35190686157926504
2014-09-21,-0.32605734177272555,-0.3260573421961915
2014-09-28,-0.39442670086524234,-0.3944267003640157
2014-10-05,-0.3512758500958042,-0.3512758501101063
2014-10-12,-0.3113071356231323,-0.31130713614054234
2014-10-19,-0.38645936246357865,-0.38645936220839033
2014-10-26,-0.40483356889676353,-0.4048335687556973
2014-11-02,-0.391821302755676,-0.39182130266437626
2014-11-09,-0.35849533160538904,-0.3584953317047189
2014-11-16,-0.34726971915040655,-0.34726971991491923
2014-11-23,-0.5061440421828676,-0.5061440416073548
2014-11-30,-0.5369698837524796,-0.5369698836667884
2014-12-07,-0.5487299180502341,-0.5487299180920577
2014-12-14,-0.5697954971515246,-0.5697954969813772
2014-12-21,-0.5530042082644537,-0.5530042083477468
2014-12-28,-0.5547451584329115,-0.5547451581913783
2015-01-04,-0.5027462600208706,-0.5027462602263965
2015-01-11,-0.49647574040493564,-0.4964757399701627
2015-01-18,-0.39347058649916694,-0.393470586501119
2015-01-25,-0.2908997543213441,-0.29089975473580915
2015-02-01,-0.28054515855106454,-0.2805451586071857
2015-02-08,-0.28267721278472785,-0.28267721287863634
2015-02-15,-0.30570339914089556,-0.30570339904638116
2015-02-22,-0.3077006481681184,-0.30770064804194297
2015-03-01,-0.2816245485997178,-0.2816245486725031
2015-03-08,-0.271742779426067,-0.2717427794407127
2015-03-15,-0.26511959536510393,-0.2651195955733773
2015-03-22,-0.3048360993500738,-0.3048360991291407
2015-03-29,-0.2953961927448202,-0.29539619289206714
2015-04-05,-0.3187179281197947,-0.31871792821971184
2015-04-12,-0.3642706784881164,-0.36427067828959225
2015-04-19,-0.36565287814854514,-0.365652878199166
2015-04-26,-0.3782979420741786,-0.378297941964775
2015-05-03,-0.3666012907788882,-0.36660129099520616
2015-05-10,-0.403034210429929,-0.4030342103489151
2015-05-17,-0.42144197902062014,-0.4214419789444259
2015-05-24,-0.4228969409016412,-0.4228969409093596
2015-05-31,-0.426069201651991,-0.42606920163942336
2015-06-07,-0.42644522122207945,-0.42644522119915884
2015-06-14,-0.42172153297914544,-0.42172153304639576
2015-06-21,-0.43196067560389195,-0.4319606755485248
2015-06-28,-0.42988092080793006,-0.4298809211104828
2015-07-05,-0.49511751657632486,-0.4951175160689892
2015-07-12,-0.4474746720851525,-0.44747467288151815
2015-07-19,-0.5770188717802819,-0.577018871674519
2015-07-26,-0.6830314163681914,-0.6830314161353532
2015-08-02,-0.7372387226804396,-0.7372387223580014
2015-08-09,-0.7197052670216105,-0.7197052671101983
2015-08-16,-0.7218821183420845,-0.7218821180413542
2015-08-23,-0.6571480883947277,-0.6571480888647714
2015-08-30,-0.6969962255680566,-0.696996225399034
2015-09-06,-0.6992377553604066,-0.6992377553707766
2015-09-13,-0.7037865523028543,-0.7037865523475858
2015-09-20,-0.7182878854286666,-0.7182878855566281
2015-09-27,-0.7612599630129286,-0.7612599629229329
2015-10-04,-0.7842084526509895,-0.7842084527277364
2015-10-11,-0.8242327132066724,-0.8242327130556639
2015-10-18,-0.8306584137575915,-0.8306584136078181
2015-10-25,-0.8037603323478054,-0.80376033221414
2015-11-01,-0.7471224241791465,-0.747122424211033
2015-11-08,-0.6975790777867292,-0.6975790775553927
2015-11-15,-0.5965645971194614,-0.5965645975737436
2015-11-22,-0.5966254408463707,-0.5966254406792048
2015-11-29,-0.5594927666015572,-0.5594927667809444
2015-12-06,-0.5622727699697886,-0.5622727698787239
2015-12-13,-0.5447913619773326,-0.544791362064891
2015-12-20,-0.5467912284100405,-0.5467912283401397
2015-12-27,-0.5332385543418897,-0.5332385544636556
2016-01-03,-0.5467781483319027,-0.5467781484793464
2016-01-10,-0.5931231518752934,-0.5931231515031544
2016-01-17,-0.556669255236042,-0.5566692554131156
2016-01-24,-0.559613261890058,-0.5596132617490884
2016-01-31,-0.5311922963200842,-0.5311922965134402
2016-02-07,-0.5457919865398124,-0.5457919864434215
2016-02-14,-0.5389452290362955,-0.5389452293294065
2016-02-21,-0.597314072519634,-0.5973140722437928
2016-02-28,-0.5943097630486406,-0.5943097629459976
2016-03-06,-0.5684679500620421,-0.5684679502398451
2016-03-13,-0.5821863487484762,-0.5821863486850583
2016-03-20,-0.581794607113963,-0.5817946071175925
2016-03-27,-0.5822103818932309,-0.5822103818732536
2016-04-03,-0.5781813006397254,-0.5781813006575603
2016-04-10,-0.578120403283383,-0.5781204033061257
2016-04-17,-0.5831196224227813,-0.5831196224110211
2016-04-24,-0.5855022773084906,-0.5855022775361088
2016-05-01,-0.6385287579659974,-0.6385287579441239
