time,target_fwd26
2011-01-23,0.6431836173657139
2011-01-30,0.6511347975639777
2011-02-06,0.6618390499994957
2011-02-13,0.6669031552505063
2011-02-20,0.6441946243571379
2011-02-27,0.6722675242536631
2011-03-06,0.6786944622911434
2011-03-13,0.7219005425979251
2011-03-20,0.7137567473238994
2011-03-27,0.7142627665919159
2011-04-03,0.7149712865101419
2011-04-10,0.7282208653050761
2011-04-17,0.706829675584549
2011-04-24,0.6807775133012987
2011-05-01,0.5637171797718258
2011-05-08,0.5496627945691777
2011-05-15,0.4017794694758762
2011-05-22,0.4339226219738806
2011-05-29,0.41340097591909536
2011-06-05,0.10533569182435608
2011-06-12,0.10919276074848634
2011-06-19,0.111184044115625
2011-06-26,0.19941880325298453
2011-07-03,0.2478813689804498
2011-07-10,0.3113044420009877
2011-07-17,0.3086127172224861
2011-07-24,0.3088612437332627
2011-07-31,0.317242381625362
2011-08-07,0.20865365334951486
2011-08-14,0.15986318548570472
2011-08-21,0.18391524247594343
2011-08-28,0.17041815746374406
2011-09-04,0.16632840135554894
2011-09-11,0.08177011502967144
2011-09-18,0.07680370607904767
2011-09-25,0.09439302236528792
2011-10-02,0.09387555491492636
2011-10-09,0.05851328347160081
2011-10-16,0.04103982666251944
2011-10-23,0.019107453562491918
2011-10-30,0.02451051350941353
2011-11-06,0.01184369792526048
2011-11-13,0.013366309078260877
2011-11-20,-0.11163978946747619
2011-11-27,-0.12110188328494209
2011-12-04,-0.13534999885196233
2011-12-11,-0.15455282897950032
2011-12-18,-0.14143432703114872
2011-12-25,-0.24580553366806027
2012-01-01,-0.32645838253752324
2012-01-08,-0.5287849434444778
2012-01-15,-0.4910583212600457
2012-01-22,-0.5016069176162469
2012-01-29,-0.5920503698576937
2012-02-05,-0.4852855241051972
2012-02-12,-0.4883723130808451
2012-02-19,-0.2513666842970664
2012-02-26,-0.149246727640845
2012-03-04,-0.14746023114015017
2012-03-11,-0.14464779609178588
2012-03-18,-0.14494293813166034
2012-03-25,-0.19246942831657118
2012-04-01,-0.19225045337770677
2012-04-08,-0.18520123874356673
2012-04-15,-0.18102111228085627
2012-04-22,-0.17985068590389094
2012-04-29,-0.17179462925377031
2012-05-06,-0.17111344770455036
2012-05-13,-0.17387445512081443
2012-05-20,-0.1712609642866135
2012-05-27,-0.1700357102439824
2012-06-03,-0.1686108072994215
2012-06-10,-0.16735830328128706
2012-06-17,-0.17919231962437698
2012-06-24,-0.177884846718784
2012-07-01,-0.17770730316051
2012-07-08,-0.17696722282158076
2012-07-15,-0.18842295522400185
2012-07-22,-0.18960336116227972
2012-07-29,-0.1739344184843826
2012-08-05,-0.2058054450405164
2012-08-12,-0.1854016751521198
2012-08-19,-0.5705692472819034
2012-08-26,-0.822610747447508
2012-09-02,-0.8000553384469244
2012-09-09,-0.5700274405458675
2012-09-16,-0.5687250278330526
2012-09-23,-0.27319537528697213
2012-09-30,-0.21278880832058053
2012-10-07,0.02905035145768767
2012-10-14,0.3566258942730321
2012-10-21,0.3740177472158512
2012-10-28,0.3587686832413538
2012-11-04,0.3833834824516523
2012-11-11,0.38505116667579276
2012-11-18,0.3873563466858685
2012-11-25,0.38734021615122255
2012-12-02,0.39386242400568533
2012-12-09,0.43140171334087557
2012-12-16,0.4319547270896194
2012-12-23,0.4310812677322581
2012-12-30,0.44477189364491354
2013-01-06,0.4765606607473859
2013-01-13,0.4856577158302794
2013-01-20,0.49044390115891384
2013-01-27,0.4889519766522098
2013-02-03,0.48664657460517374
2013-02-10,0.48560096112880957
2013-02-17,0.48378854987017583
2013-02-24,0.4852194690064674
2013-03-03,0.48531043713033045
2013-03-10,0.4692484955366721
2013-03-17,0.4693895523782424
2013-03-24,0.40569630659929895
2013-03-31,0.375173320488294
2013-04-07,0.19966371700884789
2013-04-14,-0.1546237476391199
2013-04-21,-0.19693912731524832
2013-04-28,-0.1860150892263454
2013-05-05,-0.2221284075364615
2013-05-12,-0.005203802674164296
2013-05-19,0.1061178857131713
2013-05-26,0.24936713238610278
2013-06-02,0.2446838692918986
2013-06-09,0.24569934915110997
2013-06-16,0.2406985199254343
2013-06-23,0.33920963536459864
2013-06-30,0.32457079087342094
2013-07-07,0.2810292336947461
2013-07-14,0.2858464851778435
2013-07-21,0.2803928046208563
2013-07-28,0.2881064981980245
2013-08-04,0.29094975380517085
2013-08-11,0.3201292604468379
2013-08-18,0.33572877958301156
2013-08-25,0.3378056715968989
2013-09-01,0.3457763656828886
2013-09-08,0.3352275178572881
2013-09-15,0.338097274017207
2013-09-22,0.35321479002971273
2013-09-29,0.38428068701339413
2013-10-06,0.3818515701832345
2013-10-13,0.3913707885533773
2013-10-20,0.38462222422267006
2013-10-27,0.3918115248874326
2013-11-03,0.39127426798435416
2013-11-10,0.2978488276511297
2013-11-17,0.20264509123441798
2013-11-24,0.03922396093847439
2013-12-01,0.014320968879989427
2013-12-08,-0.02290895984478611
2013-12-15,-0.025151166544765242
2013-12-22,-0.16238573155269134
2013-12-29,-0.2067217694085936
2014-01-05,-0.28661756260240995
2014-01-12,-0.2918165008512434
2014-01-19,-0.29180765061132313
2014-01-26,-0.28882706938758124
2014-02-02,-0.2890803661921427
2014-02-09,-0.33880952593291475
2014-02-16,-0.30342260606731314
2014-02-23,-0.3021652665935981
2014-03-02,-0.30937045641552513
2014-03-09,-0.3519668106924832
2014-03-16,-0.35190686169517604
2014-03-23,-0.32605734177272555
2014-03-30,-0.39442670086524234
2014-04-06,-0.3512758500958042
2014-04-13,-0.3113071356231323
2014-04-20,-0.38645936246357865
2014-04-27,-0.40483356889676353
2014-05-04,-0.391821302755676
2014-05-11,-0.35849533160538904
2014-05-18,-0.34726971915040655
2014-05-25,-0.5061440421828676
2014-06-01,-0.5369698837524796
2014-06-08,-0.5487299180502341
2014-06-15,-0.5697954971515246
2014-06-22,-0.5530042082644537
2014-06-29,-0.5547451584329115
2014-07-06,-0.5027462600208706
2014-07-13,-0.49647574040493564
2014-07-20,-0.39347058649916694
2014-07-27,-0.2908997543213441
2014-08-03,-0.28054515855106454
2014-08-10,-0.28267721278472785
2014-08-17,-0.30570339914089556
2014-08-24,-0.3077006481681184
2014-08-31,-0.2816245485997178
2014-09-07,-0.271742779426067
2014-09-14,-0.26511959536510393
2014-09-21,-0.3048360993500738
2014-09-28,-0.2953961927448202
2014-10-05,-0.3187179281197947
2014-10-12,-0.3642706784881164
2014-10-19,-0.36565287814854514
2014-10-26,-0.3782979420741786
2014-11-02,-0.3666012907788882
2014-11-09,-0.403034210429929
2014-11-16,-0.42144197902062014
2014-11-23,-0.4228969409016412
2014-11-30,-0.426069201651991
2014-12-07,-0.42644522122207945
2014-12-14,-0.42172153297914544
2014-12-21,-0.43196067560389195
2014-12-28,-0.42988092080793006
2015-01-04,-0.49511751657632486
2015-01-11,-0.4474746720851525
2015-01-18,-0.5770188717802819
2015-01-25,-0.6830314163681914
2015-02-01,-0.7372387226804396
2015-02-08,-0.7197052670216105
2015-02-15,-0.7218821183420845
2015-02-22,-0.6571480883947277
2015-03-01,-0.6969962255680566
2015-03-08,-0.6992377553604066
2015-03-15,-0.7037865523028543
2015-03-22,-0.7182878854286666
2015-03-29,-0.7612599630129286
2015-04-05,-0.7842084526509895
2015-04-12,-0.8242327132066724
2015-04-19,-0.8306584137575915
2015-04-26,-0.8037603323478054
2015-05-03,-0.7471224241791465
2015-05-10,-0.6975790777867292
2015-05-17,-0.5965645971194614
2015-05-24,-0.5966254408463707
2015-05-31,-0.5594927666015572
2015-06-07,-0.5622727699697886
