date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262166,0.0,0.0036429852671262166,0.8273631245820254
2017-07-23,sell,stop_partial,2215.74629614261,0.5,0.0018214926335631083,4.027893625155968,0.0018214926335631083,9.042907043533866
2018-02-11,sell,stop_full,6849.54255932203,1.0,0.0018214926335631083,16.47933215760788,0.0,16.47933215760788
2019-04-14,buy,entry,5283.42302483928,1.0,0.0031128378707760353,0.0,0.0031128378707760353,16.05229490981132
2019-12-01,sell,stop_partial,7139.04468597312,0.5,0.0015564189353880176,11.089121641170108,0.0015564189353880176,22.63421272216229
2022-06-19,sell,stop_full,22316.2570400351,1.0,0.0015564189353880176,45.75309977521869,0.0,45.75309977521869
2023-11-05,buy,entry,34495.1050207481,1.0,0.0013237175592104595,0.0,0.0013237175592104595,46.46916054742176
2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0006618587796052297,37.44699753007129,0.0006618587796052297,77.8303334320069
2026-02-15,sell,stop_full,70244.1017773232,1.0,0.0006618587796052297,83.84568965592237,0.0,83.84568965592237
2026-03-22,buy,entry,74723.9575534775,1.0,0.0011198327247329831,0.0,0.0011198327247329831,76.16895414459484
