strategie,date,side,reason,price,fraction,btc,cash_after,btc_after,equity_after
Actuelle+garde_fou_SMA,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Actuelle+garde_fou_SMA,2015-02-08,sell,stop_full,240.092419929866,1.0,0.0036429852671262,0.8729038422560763,0.0,0.8729038422560763
Actuelle+garde_fou_SMA,2015-03-08,buy,entry,276.322613676213,1.0,0.0031526971594096,0.0,0.0031526971594096,0.8680574373486185
Actuelle+garde_fou_SMA,2015-04-05,sell,stop_full,248.336934541204,1.0,0.0031526971594096,0.7813652858083397,0.0,0.7813652858083397
Actuelle+garde_fou_SMA,2015-07-19,buy,entry,292.649223845704,1.0,0.0026646428929897,0.0,0.0026646428929897,0.7335281968355235
Actuelle+garde_fou_SMA,2015-07-26,sell,stop_full,279.114393045003,1.0,0.0026646428929897,0.7422527033909974,0.0,0.7422527033909974
Actuelle+garde_fou_SMA,2015-11-08,buy,entry,364.616627995324,1.0,0.002031643935554,0.0,0.002031643935554,0.7565844652034497
Actuelle+garde_fou_SMA,2016-08-14,sell,stop_partial,591.629283869083,0.5,0.001015821967777,0.5997880432877292,0.001015821967777,1.1802155735159134
Actuelle+garde_fou_SMA,2018-01-28,sell,stop_full,10737.3505774401,1.0,0.001015821967777,11.485210162390024,0.0,11.485210162390024
Actuelle+garde_fou_SMA,2019-04-14,buy,entry,5283.42302483928,1.0,0.0021694809477339,0.0,0.0021694809477339,11.187588117321418
Actuelle+garde_fou_SMA,2019-10-06,sell,stop_partial,8282.3654541204,0.5,0.0010847404738669,8.966248593387077,0.0010847404738669,17.486461763953567
Actuelle+garde_fou_SMA,2020-03-22,sell,stop_full,5012.92738778492,1.0,0.0010847404738669,14.393098373013416,0.0,14.393098373013416
Actuelle+garde_fou_SMA,2020-04-26,buy,entry,6853.27341478667,1.0,0.0020959866569387,0.0,0.0020959866569387,16.105705092451096
Actuelle+garde_fou_SMA,2021-03-07,sell,stop_partial,49634.4471092928,0.5,0.0010479933284693,51.9125362939393,0.0010479933284693,105.45081412104204
Actuelle+garde_fou_SMA,2021-05-30,sell,stop_full,38630.4091186441,1.0,0.0010479933284693,92.31597850425608,0.0,92.31597850425608
Actuelle+garde_fou_SMA,2023-11-05,buy,entry,34495.1050207481,1.0,0.0026708634462394,0.0,0.0026708634462394,93.76077352752668
Actuelle+garde_fou_SMA,2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0013354317231197,75.55676524691746,0.0013354317231197,157.03817715930674
Actuelle+garde_fou_SMA,2026-02-15,sell,stop_full,70244.1017773232,1.0,0.0013354317231197,169.1753547186554,0.0,169.1753547186554
Actuelle+garde_fou_SMA,2026-03-22,buy,entry,74723.9575534775,1.0,0.002259485242589,0.0,0.002259485242589,153.68601401981124
Actuelle+garde_fou_SMA,2026-03-29,sell,stop_full,70726.2110461718,1.0,0.002259485242589,159.48522046282008,0.0,159.48522046282008
Actuelle+garde_fou_SMA,2026-04-19,buy,entry,74632.7455856224,1.0,0.0021326682469002,0.0,0.0021326682469002,157.6152820683663
Actuelle_SMA156_20_40,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Actuelle_SMA156_20_40,2015-04-26,sell,stop_partial,224.894903565167,0.5,0.0018214926335631,0.4088251213494976,0.0018214926335631,0.8104704524742197
Actuelle_SMA156_20_40,2018-01-28,sell,stop_full,10737.3505774401,1.0,0.0018214926335631,19.92771409217964,0.0,19.92771409217964
Actuelle_SMA156_20_40,2019-04-14,buy,entry,5283.42302483928,1.0,0.0037642146241646,0.0,0.0037642146241646,19.411317183651256
Actuelle_SMA156_20_40,2019-10-06,sell,stop_partial,8282.3654541204,0.5,0.0018821073120823,15.557123981372897,0.0018821073120823,30.340342543926408
Actuelle_SMA156_20_40,2020-03-22,sell,stop_full,5012.92738778492,1.0,0.0018821073120823,24.973121538277617,0.0,24.973121538277617
Actuelle_SMA156_20_40,2020-04-26,buy,entry,6853.27341478667,1.0,0.0036366964339298,0.0,0.0036366964339298,27.944624590878075
Actuelle_SMA156_20_40,2021-03-07,sell,stop_partial,49634.4471092928,0.5,0.0018183482169649,90.0722029844203,0.0018183482169649,182.96519130951745
Actuelle_SMA156_20_40,2021-05-30,sell,stop_full,38630.4091186441,1.0,0.0018183482169649,160.1752514548496,0.0,160.1752514548496
Actuelle_SMA156_20_40,2023-11-05,buy,entry,34495.1050207481,1.0,0.0046341514333106,0.0,0.0046341514333106,162.68208082396487
Actuelle_SMA156_20_40,2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0023170757166553,131.0967404411154,0.0023170757166553,272.4731939373151
Actuelle_SMA156_20_40,2026-02-15,sell,stop_full,70244.1017773232,1.0,0.0023170757166553,293.5321211026833,0.0,293.5321211026833
Actuelle_SMA156_20_40,2026-03-22,buy,entry,74723.9575534775,1.0,0.0039203789284814,0.0,0.0039203789284814,266.6569356634388
Adaptative_2T+garde_fou_SMA,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Adaptative_2T+garde_fou_SMA,2015-02-08,sell,stop_full,240.092419929866,1.0,0.0036429852671262,0.8729038422560763,0.0,0.8729038422560763
Adaptative_2T+garde_fou_SMA,2015-03-08,buy,entry,276.322613676213,1.0,0.0031526971594096,0.0,0.0031526971594096,0.8680574373486185
Adaptative_2T+garde_fou_SMA,2015-04-05,sell,stop_full,248.336934541204,1.0,0.0031526971594096,0.7813652858083397,0.0,0.7813652858083397
Adaptative_2T+garde_fou_SMA,2015-07-19,buy,entry,292.649223845704,1.0,0.0026646428929897,0.0,0.0026646428929897,0.7335281968355235
Adaptative_2T+garde_fou_SMA,2015-07-26,sell,stop_full,279.114393045003,1.0,0.0026646428929897,0.7422527033909974,0.0,0.7422527033909974
Adaptative_2T+garde_fou_SMA,2015-11-08,buy,entry,364.616627995324,1.0,0.002031643935554,0.0,0.002031643935554,0.7565844652034497
Adaptative_2T+garde_fou_SMA,2016-08-21,sell,stop_partial,566.564441320865,0.5,0.001015821967777,0.5743775484437359,0.001015821967777,1.164359016377278
Adaptative_2T+garde_fou_SMA,2018-02-11,sell,stop_full,6849.54255932203,1.0,0.001015821967777,7.5183775178246846,0.0,7.5183775178246846
Adaptative_2T+garde_fou_SMA,2019-04-14,buy,entry,5283.42302483928,1.0,0.0014201722521547,0.0,0.0014201722521547,7.32355000828722
Adaptative_2T+garde_fou_SMA,2019-12-01,sell,stop_partial,7139.04468597312,0.5,0.0007100861260773,5.05919791178593,0.0007100861260773,10.326423087807246
Adaptative_2T+garde_fou_SMA,2020-03-22,sell,stop_full,5012.92738778492,1.0,0.0007100861260773,8.611688880507042,0.0,8.611688880507042
Adaptative_2T+garde_fou_SMA,2020-04-26,buy,entry,6853.27341478667,1.0,0.0012540722309724,0.0,0.0012540722309724,9.636376953932285
Adaptative_2T+garde_fou_SMA,2021-05-30,sell,stop_partial,38630.4091186441,0.5,0.0006270361154862,24.174216350051022,0.0006270361154862,46.529413764445
Adaptative_2T+garde_fou_SMA,2022-05-29,sell,stop_full,29088.2515419638,1.0,0.0006270361154862,42.377121834703566,0.0,42.377121834703566
Adaptative_2T+garde_fou_SMA,2023-11-05,buy,entry,34495.1050207481,1.0,0.0012260445862026,0.0,0.0012260445862026,43.04034672512152
Adaptative_2T+garde_fou_SMA,2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0006130222931013,34.6839008607497,0.0006130222931013,72.08747688107857
Adaptative_2T+garde_fou_SMA,2026-02-08,sell,stop_full,78716.6018088837,1.0,0.0006130222931013,82.84242254328474,0.0,82.84242254328474
Adaptative_2T+garde_fou_SMA,2026-03-22,buy,entry,74723.9575534775,1.0,0.0011064332124981,0.0,0.0011064332124981,75.25754406482959
Adaptative_2T+garde_fou_SMA,2026-03-29,sell,stop_full,70726.2110461718,1.0,0.0011064332124981,78.09732123784887,0.0,78.09732123784887
Adaptative_2T+garde_fou_SMA,2026-04-19,buy,entry,74632.7455856224,1.0,0.0010443329901578,0.0,0.0010443329901578,77.1816427877527
Adaptative_2T,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Adaptative_2T,2016-08-21,sell,stop_partial,566.564441320865,0.5,0.0018214926335631,1.029928970392144,0.0018214926335631,2.087837670802917
Adaptative_2T,2018-02-11,sell,stop_full,6849.54255932203,1.0,0.0018214926335631,13.481367502844057,0.0,13.481367502844057
Adaptative_2T,2019-04-14,buy,entry,5283.42302483928,1.0,0.002546541990376,0.0,0.002546541990376,13.132018025578336
Adaptative_2T,2019-12-01,sell,stop_partial,7139.04468597312,0.5,0.001273270995188,9.071758654936668,0.001273270995188,18.516535556578766
Adaptative_2T,2022-05-29,sell,stop_full,29088.2515419638,1.0,0.001273270995188,46.03491119007385,0.0,46.03491119007385
Adaptative_2T,2023-11-05,buy,entry,34495.1050207481,1.0,0.0013318708585511,0.0,0.0013318708585511,46.75538246343047
Adaptative_2T,2024-07-14,sell,stop_partial,56691.9149061952,0.5,0.0006659354292755,37.67764838013113,0.0006659354292755,78.30972120006808
Adaptative_2T,2026-02-08,sell,stop_full,78716.6018088837,1.0,0.0006659354292755,89.99298204880935,0.0,89.99298204880935
Adaptative_2T,2026-03-22,buy,entry,74723.9575534775,1.0,0.0012019352063072,0.0,0.0012019352063072,81.75341333753263
Adaptative_3T_graduelle,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Adaptative_3T_graduelle,2016-08-21,sell,stop_partial,566.564441320865,0.3333333333333333,0.0012143284223754,0.6866193135947626,0.0024286568447508,2.097164247475793
Adaptative_3T_graduelle,2018-02-11,sell,stop_full,6849.54255932203,1.0,0.0024286568447508,17.28853735686398,0.0,17.28853735686398
Adaptative_3T_graduelle,2019-04-14,buy,entry,5283.42302483928,1.0,0.0032656914309435,0.0,0.0032656914309435,16.840530766506202
Adaptative_3T_graduelle,2019-12-01,sell,stop_partial,7139.04468597312,0.3333333333333333,0.0010885638103145,7.755763073997747,0.002177127620629,23.905101856515
Adaptative_3T_graduelle,2020-03-22,sell,stop_partial,5012.92738778492,0.4999999999999999,0.0010885638103145,13.201740629398728,0.0010885638103145,19.54867830562603
Adaptative_3T_graduelle,2022-05-29,sell,stop_full,29088.2515419638,1.0,0.0010885638103145,44.80282972743808,0.0,44.80282972743808
Adaptative_3T_graduelle,2023-11-05,buy,entry,34495.1050207481,1.0,0.0012962245772175,0.0,0.0012962245772175,45.50401825912503
Adaptative_3T_graduelle,2024-07-14,sell,stop_partial,56691.9149061952,0.3333333333333333,0.0004320748590725,24.446160841358488,0.000864149718145,77.17228522431085
Adaptative_3T_graduelle,2025-11-30,sell,stop_partial,88377.6024421391,0.4999999999999999,0.0004320748590725,62.55552948147252,0.0004320748590725,101.7048396194124
Adaptative_3T_graduelle,2026-02-08,sell,stop_full,78716.6018088837,1.0,0.0004320748590725,96.4989711854474,0.0,96.4989711854474
Adaptative_3T_graduelle,2026-03-22,buy,entry,74723.9575534775,1.0,0.0012888283975,0.0,0.0012888283975,87.66372775258989
Adaptative_bornee_0.5,2015-02-01,buy,entry,273.952244886032,1.0,0.0036429852671262,0.0,0.0036429852671262,0.8273631245820254
Adaptative_bornee_0.5,2015-04-26,sell,stop_partial,224.894903565167,0.5,0.0018214926335631,0.4088251213494976,0.0018214926335631,0.8104704524742197
Adaptative_bornee_0.5,2017-07-23,sell,stop_full,2215.74629614261,1.0,0.0018214926335631,4.436718746505465,0.0,4.436718746505465
Adaptative_bornee_0.5,2019-04-14,buy,entry,5283.42302483928,1.0,0.0008380671015074,0.0,0.0008380671015074,4.32174781536367
Adaptative_bornee_0.5,2019-10-06,sell,stop_partial,8282.3654541204,0.5,0.0004190335507537,3.463647826870109,0.0004190335507537,6.754992866585841
Adaptative_bornee_0.5,2019-12-22,sell,stop_full,6882.39579532437,1.0,0.0004190335507537,6.341834665181615,0.0,6.341834665181615
Adaptative_bornee_0.5,2020-04-26,buy,entry,6853.27341478667,1.0,0.0009235260188073,0.0,0.0009235260188073,7.096437210073337
Adaptative_bornee_0.5,2021-03-07,sell,stop_partial,49634.4471092928,0.5,0.0004617630094036,22.87351296394117,0.0004617630094036,46.463354250279735
Adaptative_bornee_0.5,2021-05-30,sell,stop_full,38630.4091186441,1.0,0.0004617630094036,40.67593074512408,0.0,40.67593074512408
Adaptative_bornee_0.5,2023-11-05,buy,entry,34495.1050207481,1.0,0.0011768261391922,0.0,0.0011768261391922,41.31253107433736
Adaptative_bornee_0.5,2024-05-19,sell,stop_partial,62886.9394491526,0.5,0.0005884130695961,36.9294900846246,0.0005884130695961,75.91742846784078
Adaptative_bornee_0.5,2025-04-13,sell,stop_full,79421.8044105786,1.0,0.0005884130695961,83.56885215526482,0.0,83.56885215526482
