episode,sommet,prix_sommet,creux,prix_creux,drawdown,multiple_creux_prec,log_ret_creux_sommet,duree_hausse_sem,duree_baisse_sem,vitesse_hausse,vitesse_baisse,recuperation
1,2010-11-06,0.400982302746932,2010-12-09,0.199991694330801,-0.5012455837558003,4.671275661077959,1.541432195209577,15.857142857142858,4.714285714285714,0.0972074357339373,-0.14756030888927663,2011-01-21
2,2011-06-08,29.0299213267095,2011-11-18,2.10506600321449,-0.9274863345469115,145.15563470696873,4.9778065096067206,25.857142857142858,23.285714285714285,0.19251185396269085,-0.11268626822776988,2013-02-19
3,2013-04-09,230.682996695207,2013-07-06,66.3416808883694,-0.7124119166180929,109.58468586873198,4.696697637276049,72.57142857142857,12.571428571428571,0.06471827452939438,-0.09913162069109319,2013-11-05
4,2013-12-04,1134.93223088837,2015-01-14,175.637640561075,-0.8452439398750757,17.10737828301452,2.8395098489873782,21.571428571428573,58.0,0.13163290690669965,-0.03217077943864739,2017-02-23
5,2017-12-16,19640.5138834015,2018-12-15,3185.07404383402,-0.8378314303412512,111.82405901525333,4.716926734485862,152.42857142857142,52.0,0.030945161332147177,-0.03498305637117626,2020-11-30
6,2021-04-13,63445.638314436,2021-07-20,29766.6577182934,-0.5308320869786175,19.91967453229551,2.9917079132827884,121.42857142857143,14.0,0.024637594579975903,-0.05405675365080202,2021-10-19
7,2021-11-08,67541.7555081824,2022-11-09,15758.2912819988,-0.7666881595920356,2.2690406207974747,0.8193571081484635,15.857142857142858,52.285714285714285,0.051671168982335536,-0.027835124168599196,2024-03-04
