,BH,actuelle,bornee
cycle2_2014-2016,0.02595098362903836,0.2751079707212887,0.2751079707212887
cycle3_2016-2020,0.887297992011117,1.0730171649362124,0.44191416265556005
cycle4_2020-2024,0.7172667434355977,0.825456499976805,0.825456499976805
cycle5_2024-,0.08893596869797049,0.004399231418145577,0.06143263293053369
mdd_cycle2_2014-2016,-0.664802910314684,-0.22555731444011595,-0.22555731444011595
mdd_cycle3_2016-2020,-0.834008471212392,-0.4536556427770855,-0.3437044469342102
mdd_cycle4_2020-2024,-0.7501724024403875,-0.266884039537127,-0.266884039537127
mdd_cycle5_2024-,-0.46784718312047935,-0.3802826332795447,-0.2521212898764308
