n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
2541,0.4588776900122584,0.0984675351138565,1.1404951811981159,1.0771712850265645,0.5182998819362455,8,10,0.5,4,2.0,180,"(240, 810)"
1935,0.5863956896097757,0.1314936556229608,1.166899237434065,1.197108166889933,0.5276485788113695,9,10,0.5,4,2.0,180,"(450, 810)"
1439,0.48641356493261384,0.09424760220318319,1.1277452879854466,0.8997321994172921,0.5121612230715775,8,10,0.5,4,2.0,180,"(570, 810)"
1059,0.2201287413749314,0.08258170006084758,1.0584147844033478,0.4155595133588242,0.5070821529745042,6,10,0.5,4,2.0,180,"(570, 690)"
2537,0.4545559296135938,0.1017297250183747,1.1325735343770233,1.0362294416104445,0.5262120614899488,9,10,0.5,4,2.0,240,"(240, 810)"
1935,0.5187323011590476,0.11853243209350892,1.14039644928996,1.0301001923776505,0.5291989664082687,8,10,0.5,4,2.0,240,"(450, 810)"
1439,0.38087329884848964,0.07513301004852602,1.0939097137641425,0.6793974428327639,0.5135510771369006,6,10,0.5,4,2.0,240,"(570, 810)"
1059,0.20083661337282405,0.07399389915360417,1.0510097048556637,0.3692337672498888,0.5193578847969783,6,10,0.5,4,2.0,240,"(570, 690)"
2537,0.46355208002666315,0.10430161902575583,1.1329655548939104,1.039582360145508,0.5305478912100906,9,10,0.5,4,2.0,300,"(240, 810)"
1935,0.5337660881255758,0.12119466014534187,1.1426801418575634,1.0468215537332448,0.531266149870801,8,10,0.5,4,2.0,300,"(450, 810)"
1439,0.4052287883214597,0.07956353065705468,1.0984996620352498,0.7133404123024948,0.51772063933287,6,10,0.5,4,2.0,300,"(570, 810)"
1059,0.19171058862575877,0.07266213205311874,1.0476738580159835,0.3478103168787967,0.52219074598678,5,10,0.5,4,2.0,300,"(570, 690)"
2436,0.40265240404497865,0.09859809884157453,1.1164964244908133,0.8645752179899467,0.5615763546798029,8,10,0.5,4,2.5,180,"(240, 810)"
1864,0.5312032757817934,0.1296998371357311,1.1422375400836262,0.9998977330068386,0.569206008583691,8,10,0.5,4,2.5,180,"(450, 810)"
1390,0.37261450404705526,0.08523657626594978,1.0914924014235559,0.637547433838333,0.5496402877697841,6,10,0.5,4,2.5,180,"(570, 810)"
1030,0.14946291699361897,0.083830529603715,1.036948573618371,0.2618756016206252,0.5504854368932038,6,10,0.5,4,2.5,180,"(570, 690)"
2429,0.3825435684383667,0.100872923811793,1.1046050060416561,0.7899652515715806,0.5763688760806917,8,10,0.5,4,2.5,240,"(240, 810)"
1864,0.4665862990811691,0.12028281612315705,1.1185781499226781,0.8479680457238722,0.5777896995708155,7,10,0.5,4,2.5,240,"(450, 810)"
