year,trades,pnl_pts,expectancy,win_rate,PF,sharpe,max_dd
2005,210,-94.74395780546791,-0.4511617038355615,0.49047619047619045,0.45617986475655964,-6.474422127795362,-95.914720550092
2006,236,-130.78128421999924,-0.5541579839830476,0.4703389830508475,0.41315724159784845,-6.729244095325262,-140.79848381047776
2007,216,-8.516398577103246,-0.0394277711902928,0.5231481481481481,0.9665973538860538,-0.21800991189630953,-65.08443939806251
2008,201,-42.50797858065315,-0.21148248050076196,0.5124378109452736,0.9147707104079378,-0.6771969456986936,-70.75078600801739
2009,159,-76.98888333852864,-0.48420681344986566,0.4779874213836478,0.7516151198640213,-2.3829758169955464,-81.0321128038206
2010,168,-86.02280944537198,-0.5120405324129285,0.49404761904761907,0.7046109502806757,-2.691220033374011,-94.4642685900508
2011,159,-140.2258470219018,-0.8819235661754831,0.46540880503144655,0.6189264062981059,-3.5704742837118686,-163.1208556285341
2012,154,-36.394871020438075,-0.23633033130154593,0.512987012987013,0.8504776451716738,-1.2585469120240624,-46.50107116670172
2013,185,-112.07977604963193,-0.6058366272953077,0.4594594594594595,0.5915009385386152,-4.156914042713047,-112.14712852271188
2014,192,-115.20119754693728,-0.6000062372236317,0.4375,0.6298802329679015,-3.4112499235810607,-120.98685696738485
