year,trades,pnl_pts,expectancy,win_rate,PF,sharpe,max_dd
2005,239,-44.974375966077595,-0.1881773052973958,0.5815899581589958,0.8292182596176139,-1.676912374150305,-50.6679125520077
2006,256,-151.7823106509099,-0.5928996509801168,0.484375,0.595052337297834,-4.583873996514518,-162.41255570799038
2007,214,-35.963642316196484,-0.16805440334671254,0.5280373831775701,0.9025822795665831,-0.8328022318341138,-67.75235860507122
2008,204,131.78684767955403,0.6460139592135001,0.5735294117647058,1.2345956398288065,1.8670566197365812,-47.58590890029805
2009,134,9.861881760794954,0.07359613254324593,0.5522388059701493,1.0314436346693383,0.24174881787711586,-53.18111948603219
2010,175,-105.1547642187488,-0.6008843669642788,0.49714285714285716,0.7663416590259564,-2.1715586878703017,-120.28399741321188
2011,138,56.17504132813025,0.40706551687050907,0.5652173913043478,1.1447871114350399,1.0189043228688497,-75.87036266839283
2012,180,-47.42317471653939,-0.2634620817585522,0.5111111111111111,0.905782934003029,-0.7978157240769705,-137.29956152403014
2013,202,-67.57481587333424,-0.33452879145214975,0.49504950495049505,0.8556156323309517,-1.2660716298545405,-119.1960750659201
2014,191,-15.773682604024597,-0.08258472567552144,0.4816753926701571,0.9726420461979197,-0.20544536394399446,-151.36646574480798
