level,stop_sigma,time_stop,expectancy_pts,neigh_mean,neigh_pos_share,n_trades
1.5,1.0,120,-0.44184348585553723,-0.45836964529384017,0.0,3401
1.5,1.0,120,-0.4384870813057014,-0.45836964529384017,0.0,2908
1.5,1.0,120,-0.4757641316785517,-0.45836964529384017,0.0,2419
1.5,1.0,180,-0.44551755714930746,-0.4572031951480405,0.0,3398
1.5,1.0,180,-0.44237805780544254,-0.4572031951480405,0.0,2908
1.5,1.0,180,-0.468150173630828,-0.4572031951480405,0.0,2419
1.5,1.0,240,-0.45288115371653487,-0.46307758265171667,0.0,3398
1.5,1.0,240,-0.44663648670279593,-0.46307758265171667,0.0,2908
1.5,1.0,240,-0.47174670112152667,-0.46307758265171667,0.0,2419
1.5,1.5,120,-0.4319668214110044,-0.42918008976095634,0.0,3186
1.5,1.5,120,-0.4176132301167831,-0.42918008976095634,0.0,2740
1.5,1.5,120,-0.42517787606424573,-0.42918008976095634,0.0,2294
1.5,1.5,180,-0.436930731149702,-0.43109741208419416,0.0,3177
1.5,1.5,180,-0.41878450543821183,-0.43109741208419416,0.0,2740
1.5,1.5,180,-0.42066747501373536,-0.43109741208419416,0.0,2294
1.5,1.5,240,-0.4463194407340363,-0.4359290703043285,0.0,3177
1.5,1.5,240,-0.424904087925802,-0.4359290703043285,0.0,2740
1.5,1.5,240,-0.42429553457061314,-0.4359290703043285,0.0,2294
1.5,2.0,120,-0.3966381166444097,-0.40574688910131324,0.0,3053
1.5,2.0,120,-0.35546728633682223,-0.40574688910131324,0.0,2639
1.5,2.0,120,-0.37538692432913295,-0.40574688910131324,0.0,2217
1.5,2.0,180,-0.39821953931536,-0.41185454145729183,0.0,3044
1.5,2.0,180,-0.3396868456395707,-0.41185454145729183,0.0,2639
1.5,2.0,180,-0.36900799146358687,-0.41185454145729183,0.0,2217
1.5,2.0,240,-0.41624360826337253,-0.41716420971427276,0.0,3044
1.5,2.0,240,-0.3489625280271653,-0.41716420971427276,0.0,2639
1.5,2.0,240,-0.3739003088220033,-0.41716420971427276,0.0,2217
2.0,1.0,120,-0.49762455732120864,-0.44234356192261787,0.0,2401
2.0,1.0,120,-0.5043750750658048,-0.44234356192261787,0.0,2042
2.0,1.0,120,-0.49705132272423597,-0.44234356192261787,0.0,1687
