set,cand,n,gross_exp_pts,gross_exp_sg,gross_pf,gross_sharpe,wr,net_exp_pts,pos_years,n_years,max_dd
NAS100_vault_2019_20,PREFADE-S,162,0.5765482082872242,-0.1713061455247157,1.0400465884253927,0.24325326373293754,0.5617283950617284,-0.05345179171277581,1,2,-472.8596548641399
NAS100_vault_2019_20,PREFADE-F,56,2.504546931343774,-0.30182825220442994,1.195036390621049,0.8639107974159195,0.5535714285714286,1.8745469313437741,1,2,-298.72068598247006
SPX500_vault_2019_20,PREFADE-S,164,-0.4320429485642585,-0.11117448632778808,0.9153188395610922,-0.5837021531415755,0.5365853658536586,-0.9840429485642586,1,2,-195.03139020366734
SPX500_vault_2019_20,PREFADE-F,51,0.6203613395493591,0.04141378612860037,1.150709185610833,0.6221742445702626,0.6078431372549019,0.06836133954935908,1,2,-89.72221902696901
NAS100_2026,PREFADE-S,67,14.748042450277923,0.0910886223811972,1.324346575489046,2.059309159660218,0.6119402985074627,14.118042450277922,1,1,-793.1595786196594
NAS100_2026,PREFADE-F,25,6.6549224264314395,0.04407884922220227,1.181989669365763,1.1419638056090333,0.6,6.02492242643144,1,1,-343.27021127946864
SPX500_2026,PREFADE-S,87,2.2868907476031697,0.11931391835925916,1.3360418722325158,2.3067990173471964,0.5862068965517241,1.7348907476031696,1,1,-100.28485289197124
SPX500_2026,PREFADE-F,38,-1.8034658631001643,-0.1945257169520363,0.7677696029878758,-1.9987468917296853,0.5263157894736842,-2.3554658631001644,0,1,-58.82329763446069
